abacus n.算盘
doyen n.老资格,首席
doze vt.打瞌睡
draconian a.严峻的，苛刻的
drawl n.慢吞吞地说
dreary a.沉闷的,阴沉的
drench vt.使淋透,使湿透
drivel v.淌口水,说傻话
drizzle vi.下细雨
droll a.古怪的，好笑的,滑稽的
droplet n.小滴
drudgery n.苦工,重活,单调乏味的工作
dubious a.半信半疑的
dulcet a.(声音)悦耳的，美妙的
dull a.迟钝的，呆笨的；单调的，枯躁的；阴暗的
dullard n.笨蛋
dune 沙丘
dupe n.傻瓜,易受骗的人
dwelling n.住处
dyspeptic a.消化不良的,胃弱的,患胃病的
eaglet n.小鹰
earnest a.诚挚的，认真的；热心的
earplug n.耳栓
earshot n.听力所及之范围,声音所及的距离
earsplitting a.震耳欲聋的
eavesdrop v.偷听
ebullience n.沸腾,热情,热情洋溢
eccentric n./a.古怪(的),偏执(的);不同心(的)
echelon n.[军]梯队;组织系统中的等级
eclat (U)辉煌的成就;喝采;名声
eclectic a.折衷的
eclipse n./vt.[天](日,月)蚀;失去,丧失(名声、威望等)
ecstatic a.狂喜的
ecumenical a.世界范围的，节俭的,一般性的,普遍性的
edifice n.大厦,大建筑物
efface vt.抹去
effervesce v.冒泡,沸腾,兴奋
effete a.衰老的，虚弱的，精疲力尽的
effluvia n.pl.臭气(effluvium的复数),没用的副产品
effulgent a.光辉的，灿烂的
effusive a.溢于言表的
egalitarian n.平等主义
egocentric a.自我中心的，利己的
elaborate a.精心计划的;复杂的,详尽的;vt.做详细说明
elastic a.弹性的,有伸缩性的;n.橡皮圈
elated a.欢欣鼓舞的
elegant a.(举止、服饰)雅致的
elegy n.哀歌、挽歌
elephantine a.象的,巨大的,粗笨的
elevate vt.提升…的职位;提高,改善;使情绪高昂,使兴高采烈;举起,使上升
elf n.小精灵,矮人,淘气鬼,恶作剧的人,恶人
elicit vt.引出,诱出
elitism n.精英论,优秀人士统治
ellipse n.椭圆(形)
ellipsis n.省略
elliptical a.椭圆的；省略的
elongate vt.伸长
elucidate vt.解释
emaciate v.使消瘦,使憔悴
emanate vi.发出
emancipate vt.解放
embargo n./v.禁止贸易
embark v.上船;从事;开始
embarrass vt.使窘迫，使为难vi.窘迫，不安
embed vt.把…嵌入;使扎根于
embezzle vt.贪污，盗用；挪用(公款；公物等)
embolden v.给……壮胆，鼓励
embrace v./n.拥抱;利用;包含
emigrate vi.移居国外
eminence n.卓越；显赫；(此处喻指高处)
emphasis n.强调,重点,重要性
emulate vt.竭立仿效
enact vt.通过(法案等)，扮演角色
enamel n.珐琅,瓷釉
enclosure n.附件(随函)
encomium n.赞颂，颂辞
encompass vt.包围，包含或包括某事物
encounter vt.遭遇,遇到n.遭遇
encumber vt.拖累
encyclopedia n.百科全书
endorse vt.(支票、汇票等)背书，背署；批注；同意
enduring a.持久的,忍耐的
enervate vt.使衰弱
enfeeble v.使衰弱
enfranchise v.给予自治权,给予选举权,解放
engender vt.产生
engross vt.占用;吸引
enlighten vt.启发,开导
enmity n.敌意,憎恨
ennoble v.授予爵位,使高贵
ennui n.倦怠,厌倦
enslave v.奴役
ensue vi.跟着发生;结果是
entangle vt.缠住,套住;卷入,连累
enthusiasm n.热情,热心,热忱
entice vt.诱使
entrance n.入口,进入
entrap vt.使入陷井
entreaty n.恳求，哀求
entry n.入口处,登记,进入
enumerate vt.列举
enunciate v.发音，(清楚地)表达
envision v.想象,预想
ephemeral a.短暂的
epic a.史诗；英勇的;超出正常范围的
epicure n.美食家
epigram n.警句
epilogue n.结尾
epistemology n.认识论
epitomize v.摘要,概括
equable a.稳定的，(脾气)温和的
equipoise n.平衡,均衡
equity n.公正
equivocal a.暧昧的,可疑的
erect vt.建立,使竖立;a.直立的,竖直的
erode v.(受)腐蚀，(受)侵蚀(n.erosion)
errant a.周游的,错误的,不定的
erratic a.古怪的,反复无常的,不稳定的
erudite a.博学的
escalate v.升级,逐渐发展
eschew vt.避开
esoteric adj.秘传的，神秘的
espouse v.支持,赞成,嫁娶
esteem n./vt.尊重,珍重
estrange vt.使疏远
etch n.腐蚀剂
eternal a.永久的,不朽的;不停的
ethereal a.轻的,象空气的,天上的
ethics n.伦理学
eulogize v.称赞,颂扬
euphemism n.婉言，委婉的说法
euphonious a.音响好的,悦耳的,和谐的
evacuate vt.撤离,疏散,排清
evade vt.躲避,回避
evanescent a.短暂的,瞬息的
everlasting a.永久的,永恒的
evict vt.驱逐
evoke vt.引起,唤起
ewe n.母羊
exacerbate v.加重,恶化
exacting 费力的
exaggerate v.夸大,夸张
exalt vt.赞美；擢升
exasperate v.激怒,使恼火
exceptional a.优越的,杰出的;特殊的,例外的
excerpt vt.摘录
exclamation n.惊呼,惊叹词
excoriate v.撕去皮，严厉批评
excrete v.排泄,分泌
excruciate v.施酷刑,拷问,使苦恼,折磨
exculpatory a.辩解的,辩明无罪的
excursive a.游览的,离题的,散漫的
execrate v.憎恶，咒骂
execute vt.将…处死,实施
exemplary a.模范的；典型的
exempt vt./a.免除,被豁免的
exert vt.发挥,行使,尽力
exhaust vt.使筋疲力尽,用尽
exhilarate vt.使振奋,使高兴
exhortation n.劝告，规劝(a.exhortative)
exodus v.大批离去
exonerate v.免除责任，确定无罪
exorbitant a.要价过高的,过分的
exotic a.外国种的;奇异的
expansive a.广阔的；胸襟开阔的
expedite vt.加速
expedition n.远征,探险(队),考察(队)
explicit a.清楚的,明确的;毫不含蓄的
exponent n.说明者，支持者
expurgate v.净化，删去
exquisite a.优美的,精巧的
extant a.现存的
extemporize vi.即兴创作
extenuate vt.减轻
exterminate vt.杀绝;根除
extinct a.灭绝的;(火山)不再活跃的;(风俗)废弃的
extinguish vt.熄灭,扑灭;根除,消灭
extol v.赞美
extort vt.强取,勒索
extraneous a.无关的
extravagant a.奢侈的;过分的;放肆的
extricate vt.使解脱
extrinsic a.外在的,外表的,外来的
extrovert n.性格外向的人
exuberant a.茂盛的,精力充沛的
exude v.v.(使)流出,(使)渗出
exultant a.狂欢的
fabricate vt.制造；捏造
facetious a.玩笑的
facilitate vt.使便利
faction n.派系；党内斗争
fail-safe n.自动防故障装置
faint a.微弱的，微小的，暗淡的vi.晕倒，昏厥
fainthearted a.懦弱的,无精神的,胆小的
fallacy n.谬论
falsehood n.谎言,虚假
falter v.蹒跚;(声音)发抖;支吾
fantasy n.幻想,白日梦
farce n.闹剧；荒唐可笑
fascinate vt.使神魂颠倒,迷住
fast a.ad.快速的,紧紧的
fasten vt.&vi.扣紧，系，使固定，闩上
fastidious a.难讨好的,爱挑剔的
fathom n.英寻(=1892米)v.领会，理解
fatigue n./vt.疲劳，(金属)疲劳，杂役
fatuous a.愚昧的,蠢的
fawn vi.奉承讨好
faze v.打扰,折磨,使狼狈
feckless a.没精神的,软弱的,无用的
fecund a.多产的,丰饶的,肥沃的,生殖力旺盛的
feeble a.虚弱的,无力的
fender n.挡泥板，护舷的垫子等
feral a.野生的,凶猛的
fertilize v.施肥,使丰饶,使受精
fervid a.热的,热心的
fervor n.热诚
fetid a.有恶臭的
fetter n./vt.脚镣,束缚
fiasco n.惨败
fictitious a.虚构的
figurative a.比喻的,形容多的,修饰丰富的
filibuster n./v.妨碍议事，阻挠
filigree n.金银丝做的工艺品,精致的物品
filly n.小雌马,小姑娘
filter n.滤器，过滤嘴v.过滤,透过
finch n.[动]雀类(如燕雀,金翅雀等)
finesse n.技巧、计谋、手段
finicky a.过分注意的,过分周到的,过分讲究的
flaccid a.松驰的
flagging a.下垂的,衰弱的,委顿的
flamboyant a.辉耀的,华丽的,火焰似的
flange n.边缘,轮缘,凸缘,法兰
flannel n.法兰绒；法兰绒衣服
flatter vt.阿谀,使高兴;(肖像等)胜过(真人真物)
flaw n.瑕疵,缺点
flax n.亚麻,麻布,亚麻织品
fledge v.长羽毛
flexible a.易弯曲的,灵活的
flinch vi.退缩
flint n.打火石,燧石,极硬的东西
flippancy n.无礼，言语尖刻
flirt v.挥动;调情;n.调情者;急动
flit n.v.掠过,迁徙,迅速飞过,(鸟,蝙蝠)飞来飞去
flock n.一群，(禽、畜等的)群；大量v.成群
flourish vi.繁荣，兴旺
flout vt.轻视
fluctuate vi.(物价)涨落,起落,波动
fluent a.流利的；流畅的；(说话、阅读)流利的
flush vi.奔流；脸红
fluster vt.使惊慌失措
foible n.小缺点，小毛病
foil n.金属薄片;陪衬物;钝头剑;v.烘托,挫败
foliage n.树叶
folly n.愚蠢
foment vt.激起
fondness n.(U)慈爱;溺爱
foolhardy a.有勇无谋的
footloose a.自由自在的，无拘束的
forbears n.列祖列宗
ford 浅滩
forestry 森林学
foreword n.前言,序
forgery n.伪造,伪造罪,伪造物
formidable a.可怕的,难以对付的
forthright a.直率的
fortify vt.设防于;增强
foster v.养育,抚育,抱(希望),鼓励,培养
founder n.创立者，奠基者
fracture n./v.断裂,骨折
fragile a.易碎的；虚弱的
fraudulent a.欺诈的
freelancer n.自由作家；自由记者
freewheel v.轻松快活地行动,凭惯性前进
frenzy n.过分激动
fresco n.壁画
fret v./n.烦恼,侵蚀
friable a.易碎的
friction n.摩擦力;摩擦;不和,倾轧
frieze n.(在墙顶与天花板间起装饰作用)横条,饰带
frigid a.寒冷的
frivolous a.轻薄的；轻率的
frothy a.起泡的,多泡的,空洞的
frowsy a.不整洁的,有臭味的,很闷的(frowzy)
frugal a.节俭的，节约的；少量的，微量的
frustrate vt.挫败,使无效
full-bodied a.味道浓郁的
fungi n.菌类,蘑菇
furor n.激怒,狂热,(诗情的)激情
furtive a.偷偷的
fury n.愤怒
fussy a.爱挑剔的
fusty a.旧式的,霉臭的,陈腐的,古板的
futility n.无用,无益,无价值
gab v.空谈,唠叨,瞎扯
gadfly n.虻，牛虻
gaffe n.(社交上令人不快的)失言，失态
gainsay vt.否认
gait n.步态
galaxy n.星系;一群显赫的人
gall v.使烦恼,使焦躁,难堪n.胆汁,鲁莽
galvanize v.电镀，通电，激励
gamble n.vt.赌博
gangling a.瘦长得难看的
garble v.曲解，篡改
garish a.炫耀的,过分装饰的
garment n.(一件)衣服(长袍、外套)
garner n.谷仓,积蓄
garrulous a.絮叨的
gash n.砍得很深的伤口,很深的裂缝
gasification n.气化
gauche a.笨拙的,粗鲁的,无礼的
gaudy a.绚丽的,品味低而炫耀的
gauge n.标准尺寸,(铁道)轨矩;(雨量)器;(电线)直径;vt.测量;估计;评价(人物)
gear n.齿轮,传动装置
genealogy n.系谱,宗谱,家系
generality n.概论,概说,大要
genial a.亲切的
genteel a.上流社会的
genuine a.真的,真正的
germane a.相关的
gesture n.姿势,手势,姿态
gibe vi.嘲笑
giddy a.晕眩的
ginger n.姜,精力,淡赤黄色,v.使活泼,使有生气
glacier n.冰川,冰河
glade n.林间空地,一片表面有草的沼泽低地
glance vi.看一下n.一瞥
glaze n.釉,上光,光滑面
glib a.口齿伶利的
glimmer vi./n.(发)微光;少许,微量
glisten v.闪烁，闪耀.
glitch n.干扰;误操作,小故障
gloat vi.洋洋自得
gloomy a.幽暗的；忧郁的；忧闷的；愁苦的
glorify v.赞美,美化,赞扬,使辉煌
gloss n.光泽,光滑;虚饰;注释;vt.加光泽于;掩饰
glossary n.词汇表,术语汇编
glossy a.光滑的
glutinous a.粘的，胶状的
glutton n.贪吃者
goad n.刺棒,刺痛物;激励;vt.激励,刺激
gobble v.狼吞虎咽
goggle n.眼睛睁视,护目镜
goldbrick v.称病,欺诈,偷懒
gorge vt.塞饱;n.峡谷
gossamer n.蛛丝，薄纱a.轻而薄的
gourmet n.美食家
grandiloquent a.(语言等)夸张的，夸大的
grandiose a.沾沾自喜的；堂皇的
grandstand v.哗众取宠的表演n.看台
grant n.vt.授予,允许
gratify v.使满足
grating n.格子,栅栏,格子
gratis a.免费的
gratuitous a.无缘无故的；免费的
grave n.坟墓a.严重的
gregarious a.群居的；爱交际的
grievous a.严重伤害的，引起痛苦的,严重地
grimace v.扮鬼脸,作苦相
grin v./n.露齿而笑,咧嘴一笑
gripe v.腹部绞痛，抱怨，诉苦
grisly a.恐怖的
groove a.开槽的
grotesque a.古怪的
grotto n.洞穴,岩穴,人工洞室
grove n.小树林
grovel vi.匍匐
grumble vi./n.埋怨,发牢骚,咕哝
guarantee n.保证,担保物
guffaw n.大笑
guile n.狡猾,狡计
guilt n.内疚感；罪
gullible a.易受欺骗的
gully n.小峡谷,排水沟,溪谷
gush vi.涌出,滔滔不绝地说;n.迸发
gust n.阵风;(感情的)迸发
guzzle v.v.狂饮,暴食,喝酒化掉(钱)
habitable a.可居住的
hack n.雇佣文人vt.劈,砍
hackneyed a.陈腐的
halcyon a.宁静的,平稳的,翠鸟的
hale a.强壮的,健壮的
half-baked a.半生不熟的,未完成的,不完整的
hallow vt.使...神圣,视为神圣
hallucination n.幻觉
halting a.跛的,蹒跚的,犹豫的
ham-handed a.笨手笨脚的
hamper vt.阻碍,妨碍,牵制
hamstring v.切断腿筋使成跛腿,使残废
handle n.柄,把手vt.处理
hangdog a.忧愁的,悲哀的,鬼鬼祟祟的,卑躬屈膝的
hankering n.渴望
haphazard a./ad.杂乱的(地),任意的(地)
hapless a.倒霉的,不幸的
harangue n.长篇演说
harass vt.骚扰
harbinger v.预告,充做...的前驱
harbor n.港口，海港；避难所v.隐匿，窝藏，包庇
hard-bitten a.顽强的,坚韧不拔的,不屈服的
hardheaded a.顽固的；实际的
harebrained a.轻率的,欠考虑的,粗心的
harmonious a.和睦的,调和的,和谐的,协调的
harness n.挽具,降落伞背带;vt.上挽具;治理(河流等);利用
harp n.竖琴
harry vt.骚扰
harsh a.粗糙的;严厉的
hasten vt.加快
hasty a.急速的,匆促的
haunt vt.常去;(鬼,魂)常出没于;(思想)萦绕;n.常去的地方
hauteur n.傲慢,高傲,自大
havoc n.大灾难,浩劫
headlong ad.头向前地,轻率地
hearken vi.倾听
heart n.心脏,内心
heartrending a.令人心碎的,伤心的,悲惨的
hedge n./v.(围)树篱,障碍;躲闪;推诿
hedonic a.享乐的
heinous a.凶残的
helmet n.头盔,钢盔
hem n.(衣服或裙子的)褶边
herald v.预报,宣布,传达,欢呼
herbicide n.除草剂
hereditary a.世袭的,遗传的
heresy n.异端邪说
heretical a.异教的,异端的
hermit 隐居者
herpetologist n.爬虫学家
hesitance n.踌躇,犹豫
hidebound a.营养不良的,死板的,量小的
hideous a.丑陋的；可怕的
hie v.急忙,疾走,催促
hierarchy n.等级制度
hieroglyph n.象形文字,图画文字
hike v./n.徒步旅行;增加;抬起
hilarity n.欢闹
hint n.暗示
histrionic a.演员的,演剧的,有如演戏的
hive n.蜂房,喧闹区,蜜蜂群vi.卖掉公司的一部分
hoard n.储藏物
hoax n.恶作剧
hodgepodge n.混煮,杂菜,混淆
homage n.敬意
homely a.不好看的缺乏吸引力的
homily n.说教,训诫
homogenize v.使均匀
honorarium n.酬劳金，谢礼
horn n.(牛羊等的)角，触角；号；角状物；角制品
hortative a.激励的
horticulture n.园艺
hovel n.不宜居住的小屋
hub n.中心
hubris n.傲慢,骄傲
humanitarian n.人道主义者,博爱者,基督凡人论者
humble a.谦卑的，恭顺的，地位或职务地下的
humor n.幽默，诙谐；情绪
hurdle n.障碍,跳栏,临时活动篱笆v.用篱笆围,克服
hurricane 暴风
husbandry n.耕种；节用,家政
husky a.沙哑的；强壮的
hybrid a.混合的,杂种的,混合语的
hymn n.赞美诗，圣歌；赞歌
hyperbole n.夸张法
hypercritical a.苛求的，吹毛求疵的
hypnotic a.催眠的,易被催眠的
ichthyologist n.鱼类学者,鱼类研究者
idiosyncratic a.特质的,异质的,特殊的
ignite v.点燃;引发
ignominy n.羞耻，屈辱
ignorant a.无知的，没有学问的，愚昧的，不知道的
illegible a.字迹模糊的
illiteracy n.文盲
illuminati n.先觉者;智者,光照派
illumination n.照明,阐明,启发,彩灯,灯饰
illusory a.虚幻的
illustrate vt.(用图等)说明
imbibe v.吸收
imbroglio n.纷乱,纠葛,纷扰,一团糟
imitation n.模仿,效法,冒充,赝品
immaculate a.无瑕的
immanent a.普遍存在的，内在的
immaterial a.非物质的,无形的,精神的，不相关的
immemorial a.太古的，极古的
imminent a.迫近的,紧迫的
immune a.免疫的,免除的,不受影响的
immure v.监禁,禁闭
immutable a.不可变的,不变的,不能变的
imp n.顽童
impair vt.损害;削弱
impassive a.不动情的
impeccable a.无瑕疵的
impecunious a.不名一文的，贫困的
impede vt.妨碍,阻碍
impend vi.进行威胁,即将发生
impenetrable a.不能穿过的,不可理喻的,费解的,顽固的
impenitent a.不悔悟的
imperative a.紧急的,必要的;强制的,[语]祈使语气
imperious a.专横的
impertinent a.无礼的；不相干的
imperturbable a.沉着的,泰然自若的,镇静的
impervious a.不透的；不受影响的
impetuosity n.激烈,猛烈,性急
impiety n.无信仰,无信心,不虔诚,不孝
implacable a.难平息的
implement n.工具vt.实现,使生效,执行
implicate vt.使牵连
implode v.内爆，剧减
imposing a.印象深的
impotent a.无力的,虚弱的,无效的,阳萎的
impromptu a./ad.无准备的(地),即兴的(地)
improvident a.无远见的
imprudent a.轻率的
impudent a.无礼的
impugn vt.指责
impute vt.归咎于
inadvertent a.非故意的
inalienable a.不能让与的,不能转售的,不可分割的
inane a.愚蠢的
inanimate a.无生命的
inaugurate vt.为…举行就职典礼;为展览会揭幕;开创
incandescent a.遇热发光的,白炽的
incarnate vt.化身
incendiary a.放火的,煽动的,教唆的
incense 激怒
inception n.开端，开始，取得学位
incessant 不断的
inch n.英寸
inchoate adj.刚开始的，未发展的
incinerate vi.把...烧成灰,烧弃
incipient a.开始的,早期的
incisive a.锋利的
incite vt.激励,煽动
inclement a.(天气)严酷的，严厉的
incongruent a.不协调的,不和谐的;不合适的
inconsequential a.不合逻辑的,不合理的,不重要的
incontrovertible a.无争论余地的,无疑的,明白的
incorrigible a.无药可救的,积习难改的,固执的
incriminate v.归罪,使负罪,控告
inculcate vt.谆谆教诲
incursion n.侵犯，入侵
indefatigable a.不屈不挠的
indelible a.擦不去的
indemnity n.保障,保护,赔偿
indict vt.控告
indifferent a.不感兴趣的,不关心的,质量不高的
indigenous a.土生土长的,本土的
indigent a.贫乏的,穷困的
indispensability n.不可缺少
indoctrinate v.灌输思想
indolent a.懒惰的
inducement n.引诱物
indulgent a.溺爱的
indurate v.使坚固,变坚固,使硬化
ineffable a.不能说的,不应说出的,避讳的
ineluctable a.难免的，不能逃避的
ineptitude n.不适当,愚笨,愚昧的言行
ineradicable a.不能根除的
inert a.无活动能力的,惰性的;迟钝的
inestimable a.无价的,无法估计的
inevitable a.不可避免的,必然的
inexorable a.无情的,冷酷的,不屈不挠的
infamy n.声名狼藉,出丑
infatuate v.使迷恋,使糊涂
infelicitous a.不幸的,不吉的,不适当的
infer vt.推论，推断；猜想
inferno n.火海，地狱般的场所
infinite a.无限的
infirm a.弱的,虚弱的,柔弱的
inflame vt.使燃烧
influx n.汇集,流入
infuriate vt.使发怒
infuse vt.注入
ingenious a.设计独特的;别致的,巧妙的;灵巧的
ingenuous a.天真的
ingrained a.根深蒂固的
ingratiating a.逢迎的,迷人的
inherent a.固有的
inimical adj.为敌的，不友善的
inimitable a.无法仿效的，不可比拟的
iniquity n.邪恶，不公正
initial a.最初的
inkling n.暗示,略微的提示,略知,模糊概念
innocent a.清白的,幼稚的
innocuous a.(行为，言论等)无害的
innovation n.改革，革新；新观念，新方法，新发明
inquiry n.询问,打听,调查
insatiable a.不知足的,贪求无厌的
insipid a.无味的,枯燥乏味的,单调的
insolent a.无礼的，傲慢的
insouciant a.漫不经心的;无忧无虑的
inspired a.有创见的，有灵感的
instate vt.任命,安置
instigate vt.煽动
instill 灌输
institute n.研究所,学院
insubordinate a.不服从的
insularity n.心胸狭窄
insulate vt.使绝缘,使绝热,隔离
insurgent a.暴动的
intangible a.接触不到的；不可捉摸的
integral a.构成整体所必需的,完整的
integrity n.诚实,正直;完整,完整性
intelligible a.可理解的,明白的
intemperate a.无节制的，放纵的
intensify v.加强,加剧
inter v.埋葬,葬,埋
intercede vi.调解
interim a.中间的,暂时的,间歇的
interlock a.联锁的
interminable a.没完没了的
intermittent a.间歇的,断断续续的
interrogate vt.审问,询问
intervene vi.插入,干涉;插话(时间)介于
intimate a.亲密的,密切的;个人的,私下的;vt.暗示,宣布,通知
intimidate vt.恫吓,威胁
intransigent a.不妥协的，固执的
intrepid a.勇敢的
intricacy n.纷乱,复杂,错综
intrigue v.策划阴谋;引起…的兴趣或好奇心;n.阴谋
intrinsic a.固有的,内在的
intuition n.直觉,直觉知识
inure vt.使习惯于
invective n.痛骂；恶意抨击
inveigh v.痛骂,漫骂,臭骂,抨击
inveigle v.诱骗，诱使
inventory n.(商品的)目录，存货清单，盘存
investigate vt.vi.调查
inveterate a.根深蒂固的
invidious adj.惹人反感的，招人嫉妒的
invigorate v.鼓舞，激励
invincible a.不能征服的,无敌的
inviolate a.未亵渎的,未受侵犯的(a.inviolable)
invoice vt.开发票n.发票，装货清单
invulnerable a.无法伤害的
irascible a.易发怒的.(ire)
irate a.发怒的,生气
iridescence n.彩虹色
irk v.使苦恼，厌烦.
ironclad a.坚固的，装铁甲的
irony n.反话,冷嘲,讽刺性的事件、情况等
irreducible a.不能复归的,不能削减的不可约的
irrelevant a.不恰当的,无关系的,不相干的
irresolute a.无决断的,优柔寡断的,踌躇不定的
irreverent a.不敬的,不逊的,无礼的
irritate vt.激怒,使烦躁;使感到不适
issue n.问题,发行vt.发行
isthmus n.地峡
jabber v.快而不清楚地说
jaded a.疲惫的，厌倦的
jam v.堵塞，使卡住，挤满n.拥挤，堵塞；果酱
jape n/v.戏言,笑料,嘲弄
jar v.震惊,冲突,发刺耳声,不一致n.罐,杯,瓶
jargon n.术语
jaundice n.黄疸,偏见,乖僻
jaunty adj.愉快的，满足的
jazz n.爵士音乐,爵士舞曲
jealousy n.妒忌,猜忌,羡慕
jejune a.空洞的，不成熟的
jest vi.开玩笑
jettison vt.抛弃
jibe v.嘲笑,与...一致,使转向
jingoist 侵略主义者,感情用事的,[盲目的]爱国主义者
jitter v.神经过敏,战战兢兢
jocund a.快乐的，高兴的
jog v./n.轻推,轻撞;缓步前进,慢跑
joke n.笑话vi.开玩笑
jolt v.颠簸,颠簸而行
jot vi.草草记下;n.少量
jovial a.快活的
jubilant a.高兴的
judicious a.明智的
jumble v./n.混杂,混乱,杂乱
justify vt.证明…是正当的
juxtapose vt.并置
kangaroo n.袋鼠
ken n.知识范围
kindle v.点燃,引起,激发
kindred a.同族的,同类的,血缘的,类似的
kink n.纽结,蜷缩,颈
knack n.诀窍，做事情的灵巧的，便利的方法
knave n.流氓
knead v.揉,按摩,捏制
knit v.编织;紧密结合
knotty a.有结的,多节的,多瘤的,棘手的
kudos n.名望,荣誉,声誉
labile a.易变的，不稳定的
labored <动作、呼吸等>困难的,痛苦的;缓慢的
labyrinth n.迷宫,难解的事物,迷路
laconic a.简洁的
lamentable a.令人惋惜的，悔恨的
lampoon vt.嘲讽
landfill n.垃圾堆
landlord n.地主；房东，店主
landslide n.山崩
lane n.(乡间)小路;跑道
languid a.没精打采的,倦怠的
languish vi.凋萎
languor n.无精打采
lank a.瘦削的，稀疏的
lapse n.小错,记错;(时间)流逝
larder n.食物贮藏室,食品橱
largesse n.慷慨援助，施舍
lariat n.套索
lash n./v.鞭打,责骂;眼睫毛
lassitude n.无力，没精打采
latent a.潜伏的,潜在的
lathe n.车床,陶器,镟床
latitude n.纬度;地区;(言论,行动的)自由
laudatory a.赞美的,赞赏的
lavish a.慷慨的,过度的,大量的
leaven v.使发酵,影响
lectern n.诵经台
leer n.睨视
leery a.机敏的,送秋波的,狡猾的
legacy n.遗赠
legend n.传说，传奇；传奇文学；传奇性人物或事件
legible a.清晰的,易读的
legion n.军团；大批
lenient a.宽大的,宽厚的
lethal a.致命的,致死的
lethargy a.嗜眠性
levee n.早朝,大堤
levelheaded a.头脑冷静的,清醒的
leverage 影响
levity n.浮躁
lexicographer n.辞典编纂者
liability n.责任
liaison n.联系
liberal a.慷慨的
libertine n.性行为放纵者，浪荡子
liberty n.自由
libretto n.(歌剧、音乐剧等的)歌词(或剧本)
licentious a.淫荡的；放纵的
lien n.扣押权，留置权
liken v.把....比做;把....比拟(to)
limber a.(肌肉)松软的，柔软的
limerick n.五行打油诗
limousine n.轿车
limp a.柔软的,软弱的;vt./n.跛行,蹒跚
limpid a.清澈的
linen n.亚麻布,衬衣裤
linoleum n.油布,油毯
lint n.绷带用麻布,皮棉
lip n.嘴唇
lissome a.柔软的,敏捷的
list n.名单；列表；目录vt.列出
listless a.无精打采的
lithe a.柔软的
loath a.不愿意的
lode n.矿脉,水路,水道
lofty a.高耸的;崇高的;高傲的
loophole n.枪眼,小窗,换气孔
lopsided a.倾向一方的,不平衡的
loquacious a.饶舌的
lottery n.彩票;抽彩给奖法
lounge vi.懒洋洋地倚、躺;闲逛;n.懒洋洋的姿势;休息室
loutish a.粗鲁的
loyal a.(to)忠诚的，忠贞的
lubricate vt.使润滑,使顺利
lucid a.清楚的,易懂的,神智清醒的
ludicrous a.荒谬的,可笑的
lug vt.(用力)拖拉
lugubrious a.郁郁不乐的，悲哀的
lull v.使安静,变平静;n.间歇
lullaby n.摇篮曲
lumen n.流明,内腔
luminary n.杰出人物，名人,天体,发光体
lurk vi.潜伏,埋伏
lush a.苍翠繁茂的,多青草的,丰富的
lustrous a.光泽的
luxurious a.奢侈的；奢华的；豪华的
lyrics n.抒情诗,歌词
maelstrom n.大漩涡，灾祸
magnificent a.宏伟的，盛大的；壮丽的，辉煌的
maladroit n.笨拙的
malcontent a.抱不平的,不满的,不服的
malicious a.恶毒的
malign vt.诽谤
malinger v.装病以逃避工作
malleable a.(金属)可锻的;有延展性的;(性格)可训练的;易适应的
malodor n.恶臭
mandatory a.命令的,强制性的
mangle vt.严重损伤
mangy a.(兽)疥癣的,污秽的
mania n.疯狂;躁狂症;狂热,癖好
manifest a.明白的,明显的;vt.显示,出现
manipulate vt.操纵，篡改、伪造(账目等)
mansion n.大厦,官邸
manuscript n.
marsh n.沼泽,湿地
marsupial n./a.有袋动物(的)
martinet n.要求严格服从纪律的人
marvel n.奇迹v.惊奇(a.marvelous)
masquerade n.化装舞会，v.伪装
masticate v.咀嚼
mathematical a.数学的,精确的
matriculate v.准许入学,录取
mattress n.床垫,空气垫,沉床
maudlin adj.感情脆弱的，爱哭的
maven (C)(口语)专家,行家
maverick a.标新立异的；持不同意见的
mawkish a.自作多情的，令人作呕的
meager a.少量的
mean vt.意思是a.自私的,吝啬的
measly a.患麻疹的,低贱的
measured a.标准的,整齐的,有规则的
mechanical a.机械(学)的；力学的;机械似的;手工操作的
meddle vi.干涉,干预
media n.媒体
mediate v.调停;斡旋
mediocre a.平庸的,平常的
meditate vt.考虑,沉思;冥想
medley n.混合
meet vt.遇见；满足vi.相遇；集合
meliorism n.世界改良论
mellifluous a.(音乐等)柔美流畅的
melody n.曲调
membrane n.薄膜，细胞膜
menace n.威胁,威吓;具有危险性的人(或物);vt.威胁,威吓
mend vt.修理，修补，缝补；纠正n.修补，补钉
mendacious a.不真的，撒谎的
mercenary a.惟利是图的,为钱的;n.雇佣兵
mercurial adj.反复无的,含水银的
merited a.该得的;应得的;理所当然的
mesh n.网,筛孔
mesmerism n.催眠术,催眠状态
messy a.肮脏的；麻烦的
metaphor n.隐喻,暗喻
meteoric a.流星的,转瞬即逝的,突然的
meteorology n.气象学
meticulous a.谨小慎微的;过细的
metrical a.韵律的,有韵律的,测量的
miff n.小争执,微怒
migratory a.迁移的,流浪的
mill n.磨坊；制造厂
mime v.v.摸拟表演
minatory a.威胁的，恫吓的
mince vt.切碎
mingle vi.&vt.混合
minion n.奴才,宠臣
mint n.薄荷,造币厂
minuscule a.小写的；小的
minutia n.微枝末节，细节,小事
miracle n.sth.thatisamazingandunusual奇迹
mirage n.海市蜃楼,幻想
mire n.泥泞,沼泽地
