Africa n.非洲
astrology [əst'rɔlədʒi] n.占星术,占星学(以观测天象来预卜人间事务的一种方术)
astronaut ['æstrənɔ:t] n.太空人,宇航员
astronautics [,æstrə'nɔ:tiks] n.太空航空学
astronavigation [,æstrəu,nævi'geiʃən] n.太空航行
astronomer [ə'strɔnəmə] n.天文学家
astronomical [,æstrə'nɔmikəl] adj.天文学的,庞大无法估计的n.天文
astronomy [əst'rɔnəmi] n.天文学
astrophotography [,æstrəfəu'tɔgrəfi] n.天体摄影术
astrophysics [,æstrəu'fiziks] n.天体物理学
astrospace n.宇宙空间
astrosphere ['æstrəsfiə] n.中心球,地核
astrut adj.adv.趾高气扬
astute [əs'tju:t] adj.机敏的,狡猾的
astylar [ei'stailə] adj.[建]无柱式的
asunder [ə'sʌndə] adv.分离,成碎片
asylum [ə'sailəm] n.庇护,收容所,救济院,精神病院
asymmetric [,æsi'metrik] adj.不均匀的,不对称的
asymmetrical [,eisi'metrikl] adj.不均匀的,不对称的
asymmetry [æ'simitri] n.不对称
asymptomatic [ei,simptə'mætik] adj.无症状的
asymptote ['æsimptəut] n.[数]渐近线
asynchronism [ei'siŋkrənizəm] n.不同时性,[电]异步(性)
asynchronous [ei'siŋkrənəs] adj.不同时的,[电]异步的
asyndetic [,æsin'detik] adj.连接词可省略的,使用散珠格的
asyndeton [ə'sinditən] n.连接词省略
at [æt] firstsight一看就...
ataman ['ætəmən] n.哥萨克,首领
ataractic [,ætə'ræktik] n.镇静剂,安定药adj.镇静剂的
atavism ['ætəvizəm] n.[生]隔代遗传,返祖现象
atavistic [,ætə'vistik] adj.隔代遗传的,返祖性的
ataxia [ə'tæksiə] n.[医]共济失调,运动性共济失调,混乱,无秩
ataxic [ə'tæksik] adj.[医]共济失调的,混乱的
ate [eit] vbl.吃abbr.[军]AutomaticTestEquipment,自动试验设备
atelier ['ætliei] n.工作室,画室
atheism ['eiθiizəm] n.无神论,不信神
atheist ['eiθiist] n.无神论者
atheistic [,eiθi'istik] adj.无神论的,无神论者的
atheistical [,eiθi'istikəl] adj.无神论(者)的
atheling ['æθəliŋ] n.[英史](盎格鲁-撒克逊人的)贵族,王子(尤
atherosclerosis [,æθərəuskli'rəusis] n.[医]动脉硬化症
athirst [ə'θə:st] adj.渴望的
athlete ['æθli:t] n.运动员,运动选手
athletic [æθ'letik] adj.运动的
athletics [æθ'letiks] n.运动
athodyd ['æθədid] n.[航空]冲压式喷气发动机
athrocyte n.[生]摄物细胞(具有摄物作用的细胞)
athwart [ə'θwɔ:t] adv.横跨着,斜穿过,逆,相反prep.横过,
atilt [ə'tilt] adv.挺着长矛,摆着冲刺的架势,倾斜
atlantes [æt'lænti:z] n.[建](用以支撑柱顶线盘的)男人形象的柱子
atlas ['ætləs] n.地图,地图集
atman ['ɑ:tmən] n.(印度哲学和印度教)生命的本源,灵魂,自
atmometer [æt'mɔmitə] n.蒸发计,汽化表
atmosphere ['ætməsfiə] n.大气,空气,气氛
atmospheric [,ætməs'ferik] adj.大气的
atmospherics [,ætməs'feriks] n.天电,大气干扰
atoll ['ætɔl] n.环状珊瑚岛,环礁
atom ['ætəm] n.原子
atomic [ə'tɔmik] adj.原子的,原子能的,微粒子的
atomicity n.原子数
atomics n.原子学
atomism ['ætəmizəm] n.原子说,原子论
atomistic [,ætə'mistik] adj.原子论的
atomistics n.核子物理学
atomization [,ætəmai'zeiʃən] n.分离成原子,以原子弹摧毁,雾化
atomize ['ætəmaiz] vt.使分裂为原子,将...喷成雾状
atomizer ['ætəmaizə] n.喷雾器,香水喷瓶
atomy ['ætəmi] n.微粒,尘埃,原子,矮人,侏儒
atonal [ei'təunəl] adj.无调的
atonality [,eitəu'næləti] n.无调性
atone [ə'təun] v.赎罪,补偿
atonement [ə'təunmənt] n.赎罪,弥补
atonic [æ'tɔnik] adj.清音的,平音的,无活力的
atony ['ætəni] n.[医](尤指收缩器官的)张力缺乏,迟缓,[
atop [ə'tɔp] adv.在顶上prep.在...的顶上
atrabilious [,ætrə'biljəs] adj.沉闷的,疑心的
atrioventricular [,eitriəuven'trikjələ] adj.[解]心房与心室的,房室的
atrip [ə'trip] adv.起锚
atrium ['ɑtriəm] n.中庭,心房
atrocious [ə'trəuʃəs] adj.残暴的,凶恶的
atrocity [ə'trɔsiti] n.残暴,暴行,凶恶
atrophic [æ'trɔfik] adj.萎缩的
atrophy ['ætrəfi] n.[医]萎缩,萎缩症
atropine ['ætrəpi:n] n.[药]阿托品(含颠茄碱)
attach [ə'tætʃ] vt.缚上,系上,贴上v.配属,隶属于
attache [ə'tæʃei] n.<法>大使随员,大使馆专员
attached [ə'tætʃt] 附上...的
attachment [ə'tætʃmənt] n.附件,附加装置,配属
attack [ə'tæk] n.进攻,攻击,(用语言)抨击,批评,疾病发
attacker [ə'tækə] n.攻击者
attain [ə'tein] vt.达到,获得v.达到
attainability [ə,teinə'biliti] n.可达到,所及
attainable [ə'teinəbl] adj.可到达的,可得到的
attainder [ə'teində] n.[史][律]被剥夺财产和公民权
attainment [ə'teinmənt] n.完成,成就
attaint [ə'teint] vt.[史][律]宣告剥夺...财产和公民权,损坏
attar ['ætə] n.花油,玫瑰油
attempt [ə'tempt] n.努力,尝试,企图vt.尝试,企图
attend [ə'tend] vt.出席,参加,照顾,护理,注意vi.专心,
attendance [ə'tendəns] n.出席,出席的人数,伺候,照料
attendant [ə'tendənt] n.服务员
attention [ə'tenʃən] n.注意,关心,关注,注意力,(口令)立正!
attentive [ə'tentiv] adj.注意的,专心的,留意的
attenuate [ə'tenjueit] v.削弱
attenuated [ə'tenjueitid] 衰减
attenuation [ə,tenju'eiʃən] n.变薄,稀薄化,变细,衰减
attenuator [ə'tenjueitə] 衰减器
attest [ə'test] v.证明
attestation [,ætes'teiʃən] n.证明
attic ['ætik] n.阁楼,顶楼,[解剖](耳的)鼓室上的隐窝
atticism ['ætisizəm] n.雅典语法,高雅的言辞,亲雅典
attire [ə'taiə] v.穿着,装扮n.衣服
attitude ['ætitju:d] n.姿势,态度,看法,意见
attitudinize [,æti'tju:dinaiz] vi.装腔作势
attorn [ə'tə:n] vt.[法]转让,让序
attorney [ə'tə:ni] n.<美>律师,(业务或法律事务上的)代理人
attorneyship [ə'tə:niʃip] n.代理人的职务
attract [ə'trækt] vt.吸引vi.有吸引力,引起注意
attraction [ə'trækʃən] n.吸引,吸引力,吸引人的事物
attractive [ə'træktiv] adj.吸引人的,有魅力的
attributable [ə'tribjutəbl] adj.可归于...的
attribute [ə'tribju:t] n.属性,品质,特征,加于,归结于
attribution [,ætri'bju:ʃən] n.归属
attributive [ə'tribjutiv] adj.归属的,归因的,定语的n.定语
attrite [ə'trait] adj.磨损的,削弱的vt.磨损以便使....变小
attrited [ə'traitid] adj.磨损的,磨坏的
attrition [ə'triʃən] n.磨擦,磨损
attune [ə'tju:n] tov.使调和,习惯于
atypical [ei'tipikəl] adj.非典型的
atypically 非典型
au [域]Australia,澳大利亚
aubade [əu'bɑ:d] n.<法>(短小的)抒情器乐曲,晨歌,黎明曲
auberge [əu'bɛəʒ] n.<法>小客栈,小旅馆
aubergine ['əubəʒi:n] n.茄子,(茄子般的)紫红色
auburn ['ɔ:bən] n.赤褐色adj.赤褐色的
auction ['ɔ:kʃən] n.拍卖vt.拍卖
auctioneer [,ɔ:kʃə'niə] n.拍卖人vt.拍卖
auctorial [ɔ:k'tɔ:riəl] adj.作者的
audacious [ɔ:'deiʃəs] adj.大胆的,卤莽的,大胆创新的
audacity [ɔ:'dæsiti] n.大胆,鲁莽
audibility [,ɔ:di'biliti] n.可听到,能听度
audible ['ɔ:dəbl] adj.听得见的
audibly ['ɔ:dəbli] adv.可听见地
audience ['ɔ:diəns] n.听众,观众,接见,拜见
audile ['ɔ:dail] n.听觉型的人
audio ['ɔ:diəu] adj.音频的,声频的,声音的
audio-visual ['ɔ:diəu'viʒuəl] adj.利用视觉和听觉,视听教学的
audiology [,ɔ:di'ɔlədʒi] n.听力学(主要研究对听力受损者的治疗方法)
audiometer [,ɔ:di'ɔmitə] n.听度计
audiometry [,ɔ:di'ɔmitri] n.听力测定,测听术
audiophile ['ɔ:diəufail] n.高保真音响爱好者
audiovisuals [,ɔ:diəu'viʒuəlz] n.视听教具
audiphone ['ɔ:difəun] n.助听器
audit ['ɔ:dit] n.审计,稽核,查帐vt.稽核,旁听vi.查账
auditing ['ɔ:dit] 查帐,审计,审核审计学
audition [ɔ:'diʃən] n.听,听力,试听
auditive ['ɔ:ditiv] adj.耳朵的,听觉的
auditor ['ɔ:ditə] n.计员,核数师
auditorium [,ɔ:di'tɔ:riəm] n.听众席,观众席,<美>会堂,礼堂
auditory ['ɔ:ditəri] adj.听觉的
augend ['ɔ:dʒend] n.[数]被加数
auger ['ɔ:gə] n.螺丝钻,钻孔机
aught [ɔ:t] n.任何事物,零
augite ['ɔ:dʒait] n.普通辉石,斜辉石
augment [ɔ:g'ment] v.增加,增大n.增加
augmentation [,ɔ:gmen'teiʃən] n.增加
augmentative [ɔ:g'mentətiv] n.用来增强词义的语句adj.有增加力的,增
augmented [ɔ:g'mentid] adj.增音的,扩张的
augmentor [ɔ:g'mentə] n.起扩大(或增加,增长,加强,提高)作用的人(
augur ['ɔ:gə] n.(古罗马用观察飞鸟行动等方法预卜未来的)
augural ['ɔ:gjurəl] adj.卜占的,前兆的
augury ['ɔ:gjuri] n.预言,征兆,占卜
august [ɔ:'gʌst] adj.令人敬畏的,威严的n.八月(略作Aug)
auk [ɔ:k] n.[鸟]海雀(北极地区海鸟,体大,短翅,蹼足)
auklet ['ɔ:klit] n.[鸟]小海雀(北太平洋地区海鸟)
auld [ɔ:ld] adj.老的,旧的
aunt [ɑ:nt] n.姑妈,伯母,舅妈,阿姨
auntie ['ɑ:nti] n.姑妈,伯母,舅妈,阿姨
aunty ['ænti] n.姑妈,伯母,舅妈,阿姨
aura ['ɔ:rə] n.气氛,气味,(圣象头部的)光环[医]先兆,
aural ['ɔ:rəl] adj.听觉的
aurally ['ɔ:rəli] 
aurar ['ɔ:rɑ:] eyrir的复数
aureate ['ɔ:riit] adj.金色的,灿烂的,镀金的
aureola [ɔ'riələ] n.光轮,光环
aureole ['ɔ:riəul] n.光轮,光环
aureomycin [,ɔ:riəu'maisin] n.[药]金霉素(源自商标名)
auric ['ɔ:rik] adj.金的,含金的,似金的,[化](化合物)正
auricle ['ɔ:rikl] n.外耳
auricula n.[植]耳状报春花,[动]耳螺属软体动物
auricular [ɔ:'rikjulə] n.耳的,耳状的
auriculate [ɔ:'rikjulit] adj.有耳的,有耳状物或耳状部的
auriculoventricular adj.[解]心房与心室的,房室的
auriferous [ɔ:'rifərəs] adj.产金的,含金的
aurochs ['ɔ:rɔks] n.欧洲野牛
aurora [ɔ:'rɔ:rə] n.黎明的女神,极光
auroral [ɔ:'rɔ:rəl] adj.曙光的,极光的,玫瑰色的
aurous ['ɔ:rəs] adj.[化]亚金的,一价金的,金的,含金的
auscultate ['ɔ:skəlteit] v.[医]听诊
auscultation ['ɔ:skəl'teiʃən] n.[医]听诊
auspicate ['ɔ:spikeit] v卜得吉兆而开始做某事
auspice ['ɔ:spis] n.预兆,前兆,吉兆,(以飞鸟行动为根据的)
auspices ['ɔ:spisiz] n.由...主办及赞助
auspicious [ɔ:'spiʃəs] n.吉兆的,幸运的
austenite n.[冶]体
austere [ɔ:'stiə] adj.严峻的,严厉的,操行上一丝不苟的,简
austerity [ɔ:s'teriti] n.严峻,严厉,朴素,节俭,苦行
austral ['ɔ:strəl] adj.南的,南方的,澳大利亚的,澳大拉西亚
australopithecine [ɔ:s,treiləu'piθisain] n.更新纪灵长动物adj.更新纪灵长动物的
autarchic [ɔ:'tɑ:kik] adj.独裁的,专制国家的
autarchy ['ɔ:tɑ:ki] n.独裁,专制,专制国家
autarkic [ɔ:'tɑ:kik] adj.自给自足的,经济独立的
autarky ['ɔ:tɑ:ki] n.自给自足
autecology [,ɔ:tə'kɔlədʒi] n.个体生态学
authentic [ɔ:'θentik] adj.可信的
authentically [ɔ'θentikəli] adv.确实地,真正地
authenticate [ɔ:'θentikeit] v.鉴别
authenticated [ɔ:'θentikeit] 证实
authenticity [,ɔ:θen'tisiti] n.确实性,真实性
author ['ɔ:θə] n.作家,创造者
authorial [ɔ:'θɔ:riəl] adj.著者的
authorise ['ɔ:θəraiz] vt.<英>=authorize
authoritarian [ə,θɔ:ri'tɛriən] adj.独裁的,独裁主义的
authoritarianism [ə,θɔ:ri'tɛriənizəm] n.权力主义,独裁主义
authoritative [ə'θɔ:ri,teitiv] adj.权威的,有权威的,命令的
authoritativeness 
authority [ə'θɔ:riti] n.权威,威信,权威人士,权力,职权,典据,著作权威
authorization [,ɔ:θərai'zeiʃən] n.授权,委任状
authorize ['ɔ:θəraiz] v.批准
authorized ['ɔ:θəraizd] adj.权威认可的,审定的,经授权的
authorship ['ɔ:θəʃip] n.作者的身份,著述业,(思想等的)原创作者
autism ['ɔ:tizəm] n.[心]自我中心主义,孤独症
autistic ['ɔ:tistik] n.(专注自我而与现实隔绝的)孤独症患者(常
auto ['ɔ:təu] n.<美口>汽车
autoantibody [,ɔ:təu'ænti,bɔdi] n.自身抗体,自体抗体
autobahn ['ɔ:təubɑ:n] n.(德国的)高速公路
autobiographer [,ɔ:təbai'ɔgrəfə] n.自传作者
autobiographic ['ɔ:tə,baiəu'græfik] adj.自传的,自传式的,自传作家的
autobiographical [,ɔ:təbaiə'græfikəl] adj.自传的,自传体的,自传作家的
autobiography [,ɔ:təbai'ɔgrəfi] n.自传
autobus ['ɔ:təubʌs] n.<美>公共汽车,巴士
autocatalysis [,ɔ:təukə'tæləsis] n.[化]自身催化
autochrome ['ɔ:təkrəum] n.奥托克罗姆微粒彩屏干板(早期彩色摄影用)
autochthon [ɔ:'tɔkθən] n.土著,土著人,土生的动植物
autochthonous [ɔ:'tɔkθənəs] adj.(尤指动植物)本土的,土著的
autoclave ['ɔ:təkleiv] n.(烹调用)高压锅,高压灭菌器
autocracy [ɔ:'tɔkrəsi] n.独裁政治,独裁政府
autocrat ['ɔ:təkræt] n.独裁者
autocratic [,ɔ:tə'krætik] adj.独裁的,专制的
autocratical [,ɔ:tə'krætikl] adj.专横的,独裁的
autocratically [,ɔ:tə'krætikəli] adv.独裁地,专制地
autodial n.自动拨号
autodidact [,ɔ:təudi'dækt] n.自学者,自学成功的人
autodyne ['ɔ:təudain] n.[电子]自差,自差收音机
autoecious [ɔ:'ti:ʃəs] adj.[植]寄生的,(雌雄)异苞同株
autoerotic [,ɔ:təui'rɔtik] adj.自体性行为的,手淫的,[心]自我淫荡的
autoerotism [,ɔ:təu'erətizəm] n.自体性行为,手淫,[心]自我淫荡
autogamous [ɔ:'tɔgəməs] adj.自花受粉的
autogamy [ɔ:'tɔgəmi] n.[植]自花受粉,[动]自体受精,自核交配
autogenesis [,ɔ:təu'dʒenisis] n.[生]无生源说,自然发生说,自发发生说(
autogiro ['ɔ:təu'dʒaiərəu] n.旋翼飞机
autograft ['ɔ:təugrɑ:ft] n.[医]自体移植物(如皮肤,组织等)
autograph ['ɔ:təgrɑ:f] n.亲笔签名,手稿adj.署名v.署名
autographic [,ɔ:tə'græfik] adj.亲笔写成的
autography [ɔ:'tɔgrəfi] n.亲笔,笔迹,石版印刷术
autohypnosis [,ɔ:təuhip'nəusis] n.自我催眠
autoindex adj.[计]自动索引,自动变址
autoinfection [,ɔ:təuin'fekʃən] n.自体传染
autoinoculation [,ɔ:təuin,ɔkju'leiʃən] n.[医]自体接种,自身接种(指注射自体菌苗
autointoxication [,ɔ:təuin,tɔksə'keiʃən] n.自体中毒
autoloading ['ɔ:təu,ləudiŋ] (=semiautomatic)adj.半自动的
autologous [ɔ:'tɔləgəs] adj.自体同源的,自体固有的
autolysate [ɔ:'tɔlə,seit] n.自溶产物
autolysin [,ɔ:tə'laisin] n.自溶素,自溶血素
autolysis [ɔ:'tɔlisis] n.自我分解
automat ['ɔ:təmæt] n.自动售货(或售票)机,<主美>用自动售货机
automata [ɔ:'tɔmətə] n.自动操作,自动控制
automate ['ɔ:təmeit] v.使自动化,自动操作
automatic [,ɔ:tə'mætik] n.自动机械adj.自动的,无意识的,机械的
automatically [,ɔ:tə'mætikəli] adv.自动地,机械地
automaticity [,ɔtəmə'tisiti] n.自动性
automation [,ɔ:tə'meiʃən] n.自动控制,自动操作
automatism [ɔ:'tɔmətizəm] n.自动化,自动作用,自动力
automatization n.自动化
automatize [ɔ'tɑmətaiz] vt.使自动化
automaton [ɔ:'tɔmətən] n.自动机器,机器人
automobile ['ɔ:təməubi:l] n.<主美>汽车(=<英>motorcar,car)
automotive [,ɔ:tə'məutiv] adj.汽车的,自动推进的
autonomic [,ɔ:tə'nɔmik] adj.自治的,自律的
autonomist [ɔ:'tɔnəmist] n.主张自治者,自治论者
autonomous [ɔ:'tɔnəməs] adj.自治的
autonomously [ɔ:'tɔnəməsli] 自动
autonomy [ɔ:'tɔnəmi] n.自治
autonym ['ɔ:tənim] n.本名,实名,以真名发表的作品
autophyte ['ɔ:təfait] n.[植]自养植物
autopilot n.自动驾驶仪
autopsy ['ɔ:təpsi] n.(为查明死因而做的)尸体解剖,验尸
autoradiograph [,ɔ:təu'reidiəgrɑ:f] n.放射能照像
autosexing n.性别自体鉴定,性别自体显示(指通过杂交
autosomal [,ɔ:tə'səuməl] adj.正染色体的,常染色体的
autosome ['ɔ:təsəum] n.正染色体,常染色体
autosuggestion [,ɔ:təusə'dʒestʃən] n.自我暗示,自家感应
autotelic [,ɔ:təu'telik] adj.自己本身具有目的的
autotomize [ɔ:'tɔtəmaiz] v.自割,自行分裂
autotomy [ɔ:'tɔtəmi] n.[动]自割(当虾、蜥蜴等动物遭到攻击时脚
autotransformer [,ɔ:təutræns'fɔ:mə] n.自耦变压器
autotroph ['ɔ:tətrɔf] n.[生]自养生物,靠无机物质生存的生物
autotrophic [,ɔ:tə'trɔfik] adj.自造营养物质的,自给营养的
autotruck ['ɔ:tətrʌk] n.运货卡车
autotype ['ɔ:tətaip] n.[摄](相片的)碳印法,用碳印法印成的相片
autumn ['ɔ:təm] n.秋天,成熟期,渐衰期
autumnal [ɔ:'tʌmnəl] adj.秋的,秋天的,已过中年的
autunite [əu'tʌnit] n.[矿]钙,铀云母
auxiliary [ɔ:g'ziljəri] adj.辅助的,补助的
auxin ['ɔ:ksin] n.(植物)生长素
avail [ə'veil] vi.有益于,有帮助,有用,有利vt.有利于
availability [ə,veilə'biliti] n.可用性,有效性,实用性
available [ə'veiləbl] adj.可用到的,可利用的,有用的,有空的,接受探访的
avalanche ['ævəlɑ:ntʃ] n.雪崩v.雪崩
avant-garde n.先锋派,前卫,(复)前哨部队
avarice ['ævəris] n.贪财,贪婪
avaricious [,ævə'riʃəs] adj.贪财的,贪婪的
avast [ə'vɑ:st] int.停!且慢!
avatar [,ævə'tɑ:] n.化身,天神下凡,具体化
avaunt [ə'vɔ:nt] int.滚,走开
ave ['ɑ:vei] n.(=avenue)大街,途径,林荫大道
avenge [ə'vendʒ] vt.为...报复,报仇
avenging [ə'vendʒ] adj.报仇的,复仇的
avens ['ævənz] n.[植]水杨梅属植物
aventurine [ə'ventʃərin] [矿]砂金石
avenue ['ævinju:] n.林荫道,大街,方法,途径,路
aver [ə'və:] vt.断言,主张
average ['ævəridʒ] n.平均,平均水平,平均数,海损adj.一般的,通常的,平均的vt.平均为,均分,使平衡,达到平均水平vi.买进,卖出
averment [ə'və:mənt] n.断言
averse [ə'və:s] adj.不愿意的,反对的
aversion [ə'və:ʃən] n.厌恶,讨厌的事和人
avert [ə'və:t] v.转移
avgas n.飞机用的汽油
avian ['eiviən] adj.鸟类的n.鸟
avianize vt.使禽化,通过在鸡胚中重复培养减轻(病毒
aviarist ['eiviərist] n.飞禽饲养家
aviary ['eiviəri] n.(动物园的)大型鸟舍,鸟类饲养场
aviate ['eivieit] vi.飞行
aviation [,eivi'eiʃən] n.飞行,航空,航空学,航空术
aviator ['eivi,eitə] n.飞行员,飞行家
aviatress n.女飞行家
aviatrix [,evi'eitriks] n.女飞行家,女飞行员
aviculture ['eivi,kʌltʃə] n.养鸟,鸟类饲养
avid ['ævid] adj.渴望的
avidin ['ævidin] n.[生化]抗生物素蛋白
avidity [ə'viditi] n.热望,贪婪
avifauna [,eivi'fɔ:nə] n.(某一时期,地区或环境内的)鸟类,鸟类志
avigation [,ævi'geiʃən] n.航空,航空术
avirulent [ei'viərjələnt] adj.[医](细菌等)无毒力的,无致病力的,无
avitaminosis [ei,vaitəmin'əusis] n.维生素缺乏症
avocado [,ævə'kɑ:dəu] n.[植]鳄梨,鳄梨树
avocation [,ævəu'keiʃən] n.(个人)副业,业余爱好
avocet ['ævəset] n.[鸟]反嘴鹊(一种涉禽,脚长,嘴细且向上弯
avoid [ə'vɔid] vt.避免,消除
avoidable [ə'vɔidəbl] adj.可避免的
avoidance [ə'vɔidəns] n.避免
avoirdupois [,ævədə'pɔiz] n.常衡,重量,体重
avouch [ə'vautʃ] v.确保
avow [ə'vau] v.承认,公开宣称
avowal [ə'vauəl] n.公开承认
avowed [ə'vaud] adj.自认的,公开宣布的
avulse [ə'vʌls] vt.(由于意外的事故或通过外科手术)把(身体的一部分)撕脱,抽出
avulsion [ə'vʌlʃən] n.撕裂,扯开,扯离的部分
avuncular [ə'vʌŋkjulə] adj.伯父的,伯父似的
aw [域]Aruba,阿鲁巴
awa [苏](=away)离开,远,那边
await [ə'weit] vt.等候
awake [ə'weik] vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉
awaken [ə'weikən] v.唤醒,醒来,唤起
awakening [ə'weikəniŋ] adj.唤醒的,激励的
award [ə'wɔ:d] n.奖,奖品vt.授予,判给
aware [ə'wɛə] adj.知道的,明白的,意识到的
awareness [ə'wɛənis] n.知道,晓得
awash [ə'wɔʃ] adj.与水面齐平的,被浪冲打的
away [ə'wei] adv.在远处,到远处,离去
awe [ɔ:] n.敬畏vt.敬畏
awe-inspiring ['ɔ:ins'paiəriŋ] adj.使人畏惧的
aweary [ə'wiəri] adj.疲倦的
aweather [ə'weðə] adv.迎风,向风
aweigh [ə'wei] adv.离开海底
aweless adj.不威严的,不知畏惧的,大胆的
awesome ['ɔ:səm] adj.引起敬畏的,可怕的
awestruck ['ɔ:strʌk] adj.敬畏的,肃然起敬的
awful ['ɔ:ful] adj.可怕的,威严的,<口>极度的,糟糕的
awfully ['ɔ:fuli] adv.非常,很,十分
awhile [ə'hwail] adv.片刻,一会儿
awhirl [ə'wə:l] adj.adv.旋转的(地)
awkward ['ɔ:kwəd] adj.难使用的,笨拙的
awkwardly ['ɔ:kwə:dli] adv.笨拙地,无技巧地
awkwardness ['ɔ:kwədnis] n.笨拙,不雅观
awl [ɔ:l] n.[钻皮革的]尖钻
awn [ɔ:n] n.[植]芒,谷刺
awning ['ɔ:niŋ] n.遮阳篷,雨篷
awoke [ə'wəuk] [awake的过去式及过去分词,见awake
awry [ə'rai] adj.扭曲的,走样的.
ax [æks] n.斧头vt.削减
axe [æks] n.斧子
axenic [ei'zenik] adj.[争]无异种生物混杂的,无外来污染的,
axial ['æksiəl] adj.轴的,轴向的
axiality 轴对称性轴对称的状态
axil ['æksil] n.叶腋
axile ['æksil] adj.轴的,轴上的
axilla [æk'silə] n.咯肢窝,腋窝
axillary ['æksi,leri] adj.腋窝的,叶腋的,腋生的n.腋窝的羽翼
axiology [,æksi'ɔlədʒi] n.价值论
axiom ['æksiəm] n.[数]公理
axiomatic [,æksiə'mætik] adj.不需证明的,不言自明的
axis ['æksis] n.轴
axite n.轴索终丝
axle ['æksl] n.轮轴,车轴
axletree ['æksltri:] n.(轮)轴,轴承
axolotl ['æksə'lɔtl] n.蝾螈
axon ['æksɔn] n.(神经的)轴突轴突(输出端)
axseed [植]=crownvetch
ay [ai] 唉!呜呼!(表示：“惊愕、悔恨、痛苦”等)
ayah ['aiə] n.女仆,奶妈
aye [ai] n.赞成票,投赞成票者int.是
azalea [ə'zeiljə] n.[植]杜鹃花
azide ['æzaid] n.[化]叠氮化物
azimuth ['æziməθ] n.方位,方位角
azimuthal [,æzi'mju:θəl] adj.方位角的
azine n.[化]二氮陆圜
azo ['ezəu] adj.[植]含氮的
azoic [ə'zəuik] adj.无生命的,无生命时代的
azole n.[化]一氮二烯伍圜
azonal [ei'zəunəl] adj.[地理]不分地区的,泛域的
azote [ə'zəut] n.氮
azotemia n.[医]氮血(症)
azoth ['æzɔθ] n.(炼金术用语)水银,万应灵丹
azotic adj.氮的
azotobacter [ei'zəutə,bæktə] n.[微]固氮(细)菌
azoturia [,æzəu'tju:riə] n.[医]氮尿,氮尿症
azure ['æʒə] n.天蓝色,苍天,碧空adj.蔚蓝的
azurite ['æʒərait] n.蓝铜矿
azygous ['æzigəs] adj.非对偶的
baa [bɑ:] n.羊叫声vi.羊叫
babbitt ['bæbit] 巴比合金,巴氏合金(锡、锑、铜合金)
babble ['bæbl] v.呀呀学语,喋喋不休,作潺潺声,泄露(秘密)n.儿语,胡言乱语,潺潺声
babbler ['bæblə] n.说话模糊不清者,胡说之人
babe [beib] n.小孩,缺乏经验的人
baboon [bə'bu:n] n.[动]狒狒
babu ['bɑ:bu:] n.<印>相当于Mr或Sir的称谓
babul [bə'bu:l] n.假阿拉伯胶树(产于非洲北部及印度)
babushka [bə'bu:ʃkə] n.<俄>巴布什卡(妇女头巾)
baby ['beibi] n.婴孩
baby-sit ['beibi,sit] vi.担任临时保姆,照顾婴儿
babyhood ['beibi,hud] n.婴儿时期,婴儿,幼稚
babyish ['beibiiʃ] adj.幼稚的,愚蠢的,稚气的
bacca ['bækə] n.浆果
baccalaureate [,bækə'lɔ:riit] n.<美>学士学位,在毕业典礼上对毕业班所作
baccarat ['bækərɑ:] n.一种纸牌赌博
baccate ['bækeit] adj.结浆果的,浆果状的
bacchanal ['bækənəl] n.(行为放纵的)狂欢会
bacchanalia [,bækə'neiliə] 
bacchanalian [,bækə'neiljən] adj.狂欢的,行为放纵的
bacchante [bə'kænti] n.酒神巴克斯的女祭司,酒神巴克斯的女崇拜
bacchic ['bækik] adj.酒神的,醉的,喧闹的
bach [bætʃ] n.bachelor之略语vi.过独身生活,乡村小
bachelor ['bætʃələ] n.单身汉,文理学士,幼雄兽
bacillus [bə'siləs] n.杆状菌,细菌
bacitracin [,bæsi'treisin] [药]杆菌肽,枯草杆菌抗生素
back [bæk] adj.后面的,在后面,早过去的,前(欠)的钱
backache ['bækeik] n.背痛
backbite ['bækbait] v.n.背后诽谤,背后中伤
backbiting ['bæk'baitiŋ] n.诽谤,中伤
backboard ['bækbɔ:d] n.后挡板,靠背板,篮板,背板
backbone ['bækbəun] n.脊椎,中枢,骨干,支柱,意志力,勇气,毅力,决心
backbreaker ['bæk,breikə] n.艰苦的工作,工作勤奋的人
backbreaking ['bæk,breikiŋ] adj.非常辛劳的
backcross ['bækkrɔs] n.[生]回[逆]交,回交杂种
backdate ['bæk,deit] vt.回溯
backdrop ['bækdrɔp] n.背景幕,(事件的)背景
backer ['bækə] n.支持者
backfire ['bæk'faiə] n.逆火
backgammon [bæk'gæmən] n.西洋双陆棋
background ['bækgraund] n.背景,后台,不重要或不引人注目的地方或位置
backhand ['bæk'hænd] n.adv.反手击球(的),左斜体(的)
backhanded ['bæk'hændid] adj.反手拍击的,间接的
backhoe ['bækhəu] n.(有伸缩挖掘装置的)锄耕机
backing ['bækiŋ] n.衬背,援助,支持者,赞助者
backlash ['bæklæʃ] n.反斜线(\),后座,后冲
backless ['bæklis] adj.无背的,无靠背部的,无后盾的
backlight vt.从背后照亮n.背后照明
backlog ['bæklɔ:g] n.大木材,订货
backpack ['bækpæk] v.挑运n.挑运,背包
backrest ['bækrest] n.靠背
