abate v.减轻，减退；废除
v.仿制；模仿 
pave v.铺砌；铺路
pavement n.人行道
pavilion n.亭子
pearl n.珍珠v.呈珍珠状;用珍珠装饰
peck v.／n.啄
peculiar a.特殊的；独特的；古怪的
peculiarity n.独特性，特色；特殊的东西；怪癖
pedagogy n.教育学；教学法
pedal a.足的；脚踏的n.脚踏v.骑自行车
pedestrian n.行人a.步行的
pediatrics n.儿科学
peel v.削皮，剥皮n.果皮
peep v.／n.偷看；窥看
peer v.盯，窥，凝视n.同事;前辈
peg n.木(或金属)钉；衣夹v.钉木钉
pelvis n.骨盆
penalty n.罚；惩罚
pendulum n.摆；钟摆
penetrate v.穿透；渗入；看穿
penetration n.穿透；穿人；渗透
peninsula n.半岛
peninsular a.半岛的；半岛状的
penny n.便士；一分
pension n.抚恤金；养老金；年金v.给予…养老金(抚恤金等)
pepper n.胡椒粉；胡椒；辛辣(或富于刺激性)的事物v.撒胡椒粉于
pepsin n.胃蛋白酶
peptic a.消化性的；助消化的；消化液的
perceive v.察觉，发觉；理解；领悟
perceptible a.感觉得到的；看得出的；可理解的
perception n.感觉；概念；理解力
perceptive a.知觉的；感觉灵敏的;有察觉力的；有理解力的
percuss v.叩诊；震动；敲打
percutaneous a.经皮的
perforate v.穿孔；贯穿
perform v.做，施行；完成；表演；演出
performance n.表演；演出；执行；完成
performer n.表演者；执行者
perfume n.香水；香料v.撒香水
perfuse v.洒；灌注；使充满
peril n.严重危险v.置…于危险中
periodic n.期间；周期；时期；时代；句号(pl.)月经期
periodic a.周期的；定期的；间歇的；循环的
periodical a.定期的；周期的；期刊的
n. 期刊，杂志
peripheral a.末梢的；周围的
permanence n.永久(性)；持久(性)
permanent a.永久的；持久的
permeable a.可渗透的；具渗透性的
permeate v.渗入；透过；弥漫；充满
pernicious a.有害的，有毒的；恶性的;致命的
perpetual a.永久的；永恒的
perplex v.困惑；难住；使复杂化
persecute v.迫害
persecution n.迫害
persevere v.坚持；不屈不挠
personify v.拟(某物)为人;使人格化；表现；体现
personnel n.全体人员；全体职员；人事部门
perspective n.前景；前途；观点；看法a.透视的
perspire v.排汗
pertain v.(to)附属，从属；关于；有关；适合，相称
pertinent a.恰当的；贴切的；中肯的；有关的；相干的
perturb v.使不安;烦扰;扰乱;使紊乱
perturbation n.不安,烦扰;扰乱;紊乱
pertussis n.百日咳
pervade v.弥漫,渗透;充满,遍及
pessimism n.悲观；悲观主义；厌世
pessimist n.悲观者；悲观主义者；厌世
pessimistic a.悲观的;悲观主义的
pesticide n.杀虫剂；农药
petition n.／v.请愿，申请，祈求
petrol n.汽油
petroleum n.石油
petty a.细小的,次要的;渺小的
pharmaceutical a.药学的;药物的；药用的;药剂师的
pharmacology n.药理学；药物学
pharmacy n.药学；制药；药店,药房
pharyngitis n.咽炎
pharyngoscope n.咽镜
pharynx n.咽
philosopher n.哲学家;哲人
philosophical a.哲学家的;哲学上的;达观的
philosophy n.哲学,哲学体系
phonetic a.语音(学)的
phosphate n.磷酸盐
phosphorus n.磷
photography n.摄影术
physiological a.生理学的；生理的
physiology n.生理学
pick v.挖；拾，采,摘;挑选n.镐
picket n.桩，尖桩v.派去放哨;用栅子围上
pickle n.腌制品；泡菜
pictorial a.绘画的；图片的n.画报
picturesque a.景色似画的；别致的
pierce v.穿透
pigeon n.鸽子
pigsty n.猪圈
pillar n.柱，支柱；柱形物
pilot n.驾驶员，飞行员；领港员；引水员v.领港；驾驶(飞机等)
pin n.大头针;别针;徽章;销,栓v.钉住,别住
pinch v.／n.拧，捏,夹(痛);挤压
pine n.松树v.憔悴;消瘦;渴望
pink n.桃红色;粉红色a.粉红色的
pinkeye n.火眼
pistol n.手枪
piston n.活塞
pit n.坑；窖；小凹陷
pitch n.沥青
pitiable a.引人怜悯的；可怜的
pitiful a.令人怜悯的；可怜的
pituitary a.垂体的；粘液的n.垂体,垂体前后叶制剂
pity n.怜悯；惋惜；可惜的事,憾事
placebo n.安慰剂；宽慰话
placenta n.胎盘
plague n.瘟疫;鼠疫;灾祸;天灾
v. 染瘟疫
planetary a.行星的,有轨道的
plantation n.种植园;栽植
plaque n.班,血小板;噬菌区
plasma n.血浆
plaster n.灰泥;膏药v.涂灰泥;敷贴膏药;减轻
plateau n.高原;平稳时期;停滞时期
platelet n.血小板
plea n.抗辩；诉讼；托词；请愿；请求
plead v.恳求；为…辩护，辩解
pledge n.誓约；保证v.发誓；保证
plenary a.完全的；绝对的；全体出席的
pleura n.胸膜
plexus n.(血管，淋巴管，神经等的)丛
plight n.境况；困境，苦境v.保证
plot n.一块地；计划，阴谋,情节
v. 策划
plumber n.管子工；铅管工
plump a.丰满的；饱满的
plunder v.／n.掠夺；抢劫
plunge v.跳入;(使)投入;(使)入;猛冲
plural n./a.复数(的)
plus prep.加n.加号;正号a.正的
pneumonia n.肺炎
poke v.戳，刺，捅，插；触碰；伸(头)
polar a.地极的；南极的；北极的
polarization n.(电)极化；极化强度；偏振；两极分化
polarize v.极化；偏振；使两极分化
pole n.柱，杆；地极；磁极v.用杆撑
policy n.政策,方针
polish v.擦亮,抛光n.擦亮剂
poll n.投票;投票数;民意测验v.投票;对…进行民意测验
polymer n.聚合物；聚合体
polyp n.息肉
polytechnic a.多种工艺的；多种科技的
pond n.池塘
ponder v.考虑；沉思
porcelain n.瓷；瓷器
porch n.门廊
pore n.毛孔；气孔；细孔v.凝视
pork n.猪肉
porridge n.粥
port n.港口
portable a.轻便的；手提(式)的
portal a.肝门的；门静脉的；
porter n.搬运工人；守门人
portion n.部分；一份
portrait n.肖像，画像
positive a.确定的，肯定的；积极的；正面的；阳性的n.明确；实在；正面
possess v.拥有，占有
possession n.所有物；拥有，占有
possessive a.占有的；所有的n.(the-)所有格
postage n.邮费；邮资
postal a.邮政的，邮局的n.明信片
postdoctoral a.博士后的
poster n.招贴；标语；广告(画)
posterior a.后面的
postmortem a.死后的;验尸的n.尸体解剖；验尸
postscript n.又及；附言；再者
potassium n.钾
potent a.有力的；有效力的；有势力的；烈性的
potential a.潜在的；可能的n.潜力
potentiality n.潜在性；可能性；(pl.)潜力
potentiate v.加强；使更有效力(尤指药物)
pottery n.陶器类；陶器制造(术)
poultry n.家禽
powder n.粉末，药粉
pox n.痘，疹；脓疱
practitioner n.开业者；实践者
131 
precaution n.预防,谨慎;警惕v.预先,警告
precautious a.有防备的；戒备的；警惕的
precede v.在先，在前；优于
precedence n.领先；在前；优先；上座
precedent n.先例，前例a.在前的，优先的
precious a.珍贵的，贵重的
precipitation n.沉淀；加速；促进；降雨量
precise a.精确的，准确的
precision n.精确(性);精密a.精确的，精密的
precursor n.先驱者；前辈；前任；预兆；先兆
predecessor n.前辈；前任者
predispose v.使易感染；预先安排
predisposition n.倾向；素质；易罹病的素质
predominant a.占优势的；主要的；流行的；显著的
preference n.偏爱；喜爱；优先
pregnancy n.怀孕；怀孕期
pregnant a.怀孕的；孕育着的
prejudice n.偏见,成见;侵害,损害,歧视v.使抱偏见,不利于
preliminary a.预备的,初步的n.预考,初试
prelude n.序言；预兆
premature a.早熟的；不到期的n.早产的婴儿
premed(premedical) a.医科大学预科的
premier n.总理,首相a.首要的,首位的
premise n.前提;(pl.)房屋(及其附属建筑,基地等)v.提出…为前提
preoccupy v.先占,使全神贯注;迷着;吸引
preponderance n.优越,优势
prerequisite a.必须先具备的；先决条件的
prescribe v.处(方)，开(药)；规定；指示；命令
prescription n.药方，处方；命令；指示；规定
prescriptive a.规定的，指示的；约定俗成的
preside v.主持
presidency n.总统的职位；管辖
press v.压，挤，按；逼迫，催促
n.报刊，出版界；压榨机，印刷机 
prestige n.威望，声望
presume v.推测；假定
presumption n.假定，推测;专横,冒昧
pretend v.假装；假托
prevail v.取胜；占优势；流行,盛行
prevalence n.流行，盛行
prevalent a.流行的，盛行的
previous a.先的，前的，以前的
previously ad.以前地
prey n.被捕食的动物；捕食v.捕食；掠夺；折磨
prick v.刺(穿)；戳(穿)；刺痛
priest n.教士；神父；牧师
primary a.首要的，主要的；基本的；最初的；初级的；原始的；原发的
prime a.主要的，首位的；最好的，头等的n.全盛时期；青壮年时期
primitive a.原始的，早期的；简单的；粗糙的n.原始人(事物)
prince n.王子；亲王
princess n.公主；王妃
priority n.优先；重点；优先权,先,前
prism n.棱镜；棱柱(体),角柱(体)
privacy n.隐居，隐退；秘密，私下；隐私
private a.私人的；私有的；私立的；秘密的；私下的
privilege n.优惠；特许；特权v.给予优惠；给予特权
probation n.检验；验证；试用；见习
probe n.探针；探查；探测器v.用探针探查；探查；查究
procaine n.普鲁卡因
procedure n.程序；步骤；过程
procession n.队伍；行列；行进
processor n.加工者,处理者,信息处理机
proclaim v.宣布,声明
proclamation n.宣布,公布,声明,公告;宣告
prodrome n.前驱症状；序论
productivity n.生产率；生产能力
proficiency n.熟练；精通
proficient a.熟练的，精通的
profile n.侧面(像)；外形，轮廓v.描…的轮廓
profound a.深刻的；渊博的；深远的；深切的
profuse a.极其丰富的；过多的
prognosis n.预后
progress n./v.前进；进步；进展
progression n.前进；进步；接续
progressive a.进步的；前进的；渐进酡：进行性的
prohibit v.禁止；阻止
prohibition n.禁止；禁令
project n.计划；方案；工程；项目
v.设计，规划；投射，放映,凸出 
projection n.设计，规划；发射，喷射,投影，投影图；凸出
projector n.计划人；放映机；幻灯；发射装置
prolapse n.脱垂；下垂
prominent a.突出的，杰出的；凸起的,突起的；显著的
promote v.提升，晋升；促进，增进,助长
prompt a.敏捷的；迅速的；即刻的
v.促使；引起ad.准时地 
prone a.有…倾向的；易于…的
propaganda n.宣传
propagate v.繁殖；宣传；传播
propel v.推进，推动
property n.财产；所有权；性质；特性
prophylaxis n.预防；预防法
proponent n.建议者；支持者a.建议的
proportion n.部分；比例，比重；均衡，相称v.(使)成比例
proportional a.相称的；成比例的
proportionate a.成比例的；相称的v.使成比例
proposal n.提议，建议；推荐；打算；求婚
propose v.提议，建议；推荐；打算;求婚
prose n.散文
prosecute v.彻底进行；从事;经营,对…起诉；告发
prosecution n.彻底进行；从事;经营,起诉;告发
prospect n.展望；前景v.勘探
prospective a.预期的；未来的；前瞻性的
prosper v.繁荣，昌盛；成功
prosperity n.繁荣；兴旺；成功
prosperous a.繁荣的，兴旺的
prostate n.前列腺
protest v./n.断言；主张；抗议；反对
protocol n.议定书；草约；会谈记录；外交礼节
protoplasm n.原生质，细胞质
prototype n.原型；标准；典型
protract v.延长；伸长
protrude v.伸出；突出
proverb n.谚语，格言v.成为谚语：用谚语表达
province n.省；领域，范围
provincial a.省的，地方的n.外省人；乡下人
provision n.给养，口粮；准备，预备；条款，规定v.向…供应粮食
provoke v.煽动；激怒；激起；诱发
proximate a.贴近的；近似的；即将到来的
proximity n.贴近，接近；近似
prodent a.谨慎的；慎重的；精明的；节俭的
pseudo a.假的，冒充的
psychiatry n.精神病学
psychic a.精神的,心理的
psychological a.心理的,心理学的
psychology n.心理学
psychosis n.精神病,精神极度不安
puberty n.青春期
puff n.(一)喷，(一)吹；一阵，一股(气味)；隆起的小块
pulmonary a.肺的
pumpkin n.南瓜,南瓜藤
punch v.冲压,穿孔n.冲压机；穿孔机
punctual a.准时的；不误期的；正确的；精确的
puncture n./v.穿刺，刺
puppet n.木偶，玩具；傀儡
puppy n.小狗，幼犬
purification n.纯化，净化；提纯
purify vt.使纯净，使洁净；纯化
purple n.紫色a.紫的，紫红的v.(使)成紫色
purse n.钱包
pursue v.追逐；追击；从事；进行
pursuit n.追赶，追求；职业；事务
purulent a.化脓的；脓性的
pus n.脓；脓液
pajama n.(pl.)睡衣裤
pylorus n.幽门
pyrexia n.发热
quack n.庸医；江湖医生；冒充内行的人;骗子
quadrant n.四分体；象线
quake v./n.震动，颤动；发抖
quantities v.测定(估计)…的数量
quarantine n.检疫；检疫处；隔离；隔离区
quarterly n.季刊a.季度的ad.季度地
quartz n.石英
queer a.奇怪的，古怪的；眩晕的；不舒服的；想呕吐的
quench v.熄灭；扑灭；抑制
quest n./v.寻找；探求；搜索
questionnaire n.调查表；问题单
queue n.辫子；行列；长队v.排长队
quiescence n.静止;休眠;(疾病的)被遏制状态
quilt n.被(子)；被状物v.缝(被)；用垫料填塞
quinine n.奎宁
quinsy n.扁桃体周脓肿
quiver v.颤抖n.颤动；箭袋
quiz n.恶作剧；挖苦；小型考试；测验；知识竞赛
quota n.定额
quote v.引用,援引
rabies n.狂犬病
racial a.人种的；种族的；种族间的
racism n.种族主义；种族歧视
racist n.种族主义者
rack n.搁板，行李架
radial a.光线的；射线的；辐射状的；桡骨的n.放射部；射线
radiate v.散发，发光，辐射a.有射线的
radiation n.辐射，发光，发热；放射物
radical a.根本的，重要的；彻底的；激进的
radicle n.根；基
radioactive a.放射性的
radiograph n.放射照片
radiology n.放射学
radiotherapy n.放射疗法
radius n.半径；放射线;桡骨
rag n.破布，碎布
rage n.愤怒v.发怒
raid n./v.袭击；搜查
rail n.栏杆，围栏；铁路v.用栏杆围隔
rake n.(长柄的)耙子，钉齿耙；耙状的用具v.耙
rale n.罗音；水泡音
rally n.集合；恢复；振作；大会
v.集合；召集；振作；恢复 
ramble v./n.闲逛；漫步
ramify v.分枝；成网状
rancher n.大牧场主(或工人)；大农场主(或工人)；大牧场(或农场)管理人员
rarity n.罕见的事物
rascal n.流氓；无赖
rash n.疹a.急躁的
ratify v.批准；认可
rating n.级别，等级；额定值,定额；责骂，申斥
ration n.定量；给养；口粮
rational a.理性的；合理的
rationale n.基本原理；理论基础；原理的阐述
ravage v./n.蹂躏，劫掠，毁坏
razor n.剃刀
reactionary a.反动的n.反动分子
reactivate v.使恢复活动；使复能
readily ad.乐意地；容易地
reagent n.试剂；反应力；反应物
realm n.王国，国土；领域，范围
ream n.令；大量v.铰大,钻大;榨出…的汁
reap v.收割；收获
rear n.后部，尾部a.后方的，后部的v.抚养；栽种；饲养
reassure v.使放心；再次保证
rebellious a.造反的，反抗的；(疾病等)难治的
rebuke v./n.训斥，指责；非难,谴责
recede v.退；退去；收回，撤回
receptacle n.容器，贮藏器；插座，插孔
recipe n.菜谱；配方；处方
recipient n.接受者；受血者；受体
reciprocal a.相互的；往复的；互利的
n.有相互关系的事物；倒数 
recite v.背诵，朗诵；列举
reck v.顾虑，介意；有关系，相干；注意，对…有关系
recklessly a.不在乎的；不顾后果的
reckon v.数，计数；看作，认为
reclaim v.开垦；回收；改造；感化
recline v.向后靠；斜倚
recoil v./n.撤回；退位；跳回;弹回；产生反作用
recollect v.回忆；追忆；想起
recombination n.再组合；再化合；复合
recommend v.劝告，建议；介绍,推荐
recommendation n.建议，劝告；推荐
recompensce n.酬报；赔偿
reconcile v.使和解；调解
reconciliation n.和解
recondition v.修理，修复，修整；改革，改善
reconstruct v.重建，再建
recreation n.娱乐，消遣
recrudesce v.(病痛)复发
recruit n.补充；恢复健康;复原
rectify v.纠正；整顿
rectitis n.直肠炎
rectum n.直肠
recumbent a.躺着的；斜靠的
recur v.复发；再发
reel n.卷轴，卷筒；卷盘，一盘
v.卷，绕；拉起 
referral n.工作的分派；治疗安排
refine v.精练；精制；提纯；精炼
refluent a.倒流的，回流的
refractary a.难治疗的；顽固性的
refrain v.抑制；忍住
refresh v.提神，振作,使清新
refreshment n.茶点，点心;恢复;爽快
refugee n.难民；流亡者
refusal n.拒绝，回绝
refute v.反驳，驳斥
regimen n.社会制度；生活制度；服药时间(表)
regression n.退化；退步；消退；回归
rehabilitate v.使复原，恢复(正常生活)
rehearsal n.排练，排演；练习，演习；背诵；详述，复述
reign v./n.统治
reinforce v.增援，加强n.加固物
relapse n./v.复发；再发
relaxant a.弛张的；n.弛缓药
relay v.中继，转播；接力；再放；重新涂；重新铺设
relevance n.相关；中肯；恰当
relevant a.相关的；适当的；中肯的
reliability n.可靠性
reliable a.可靠的
relic n.(p1.)遗体，尸体；遗物；遗迹；废墟
relief n.缓解，消除；救济，援救
relieve v.缓解，消除，减轻；救济
religion n.宗教，信仰
religious a.宗教的；信教的；虔诚的
reluctance n.勉强，不情愿
reluctant a.不愿的，勉强的
remedy n.药品；治疗措施；补救办法
v.治疗；补救 
remit v.缓解，减轻
remittent a.弛张的；忽重忽轻的
remnant n.a.残余(的)；剩余(的)
removal n.排除；切除；搬迁，移动
renal a.肾的
render v.使得，使变为；提出,提供；给予；呈报n.缴纳
repeal v./n.撤消，废除
repel v.拒绝，排斥
repent v.悔悟；后悔
repetition n.重复，反复
replicate v.复制；重复
represent v.表示，说明；描写，表现，象征；代表，代理；演出；提出
representative n.代表；代理人a.代表性的
repress v.镇压；抑制；约束
repression n.抑制；约束；镇压
reproach v./n.责备，申斥，指责
reproduce v.繁殖，生殖；复制，仿造
repulsion n.排斥；反感；厌恶
reputation n.名声；声望
requisite a.必不可少的n.必需品
rescue v./n.营救，救援
resect v.切除
resemblance n.相似；相似点；相似物
resemble v.相似，象
resent v.不满于；愤恨；怨恨
reserve v.保留；储备；预定n.储备；储备品；储备金
reservoir n.水库，蓄水池；贮主
reside v.居住；驻扎
residence n.住处；住宅
resident n.居民；常住者；住院医师
residual a./n.残留(的)；剩余(的)
residue n.残余；剩余；残渣
resign v.辞去；辞职；顺从；听从
resignation n.辞职；辞呈；听从；屈从
resin n.树脂；松香
resistant a.有抵抗力的；反抗的；有耐药性的
resoluble a.可分解的；可溶解的；可解决的
resolute a.坚决的，果断的
resolution n.决心，坚决；决定;决议;消除；消退；分解
resonance n.回声，反响；共振；共鸣
resonate v.共振，谐振；共鸣
resort v.求助；凭借；诉诸n.胜地；常去之处
respective a.各自的;各个的
respire v.呼吸
respiration n.呼吸
respond v.回答,答复,响应,起反应
response n.回音，回答；反应,响应
responsibility n.责任；职责
responsible a.应负责的,有责任的,责任重大的；认真负责的
restore v.归还，放回；修复;恢复
restrain v.抑制；制止
restraint n.抑制；约束
restrict v.限制；约束
restriction n.限制；约束
resultant a.作为结果而发生的n.结果；组合；生成物
resume n.梗概；个人简历
v.重新开始，继续；恢复 
retail v./n.零售，零卖a.零售的
retard v.妨碍；延迟，放慢n.延迟；耽误
retell v.复述，重述
retention n.潴留；停滞；保持
reticular a.网状的
retina n.视网膜
retire v.退下；离开；退休;引退
retract v.缩回；缩进
retreat v.撤退；退却n.撤退，退却
retrieve v.重新得到；挽救；恢复
retrograde a.后退的；退行性的；逆行的
reunification n.重新统一
reunion n.再结合，再联合；团聚
reveal v.揭示；展现；泄露
revenge n./v.复仇，报复
revenue n.收入；税收
reverse v.颠倒；翻转n.相反；背面
reversible a.可逆的
reversion n.回复；倒转；反向
revise v.修订；修正；复习n.再校样
revision n.修订；校订；修改
revitalize v.使恢复元气；使新生
revive v.苏醒，复苏；复兴
revolt v.反抗，造反，反叛；厌恶，憎恶，反感n.反抗，造反，反叛
revolve v.旋转；细想，默想
rheumatism n.风湿病
rheumatoid a.类风湿病的
rhinitis n.鼻炎
rib n.肋骨
ribbon n.带；缎带；丝带v.用缎带装饰
rickets n.佝偻病
riddle n.谜，谜语v.解(谜)等；迷惑
ridicule v./n.嘲弄，挖苦，奚落
ridiculous a.荒谬的；可笑的
rifle n.步枪，来福枪v.用步枪射击；抢劫
rift n.裂缝；空隙v.裂开；渗入
rigid a.刻板的；强直的；僵硬的
rigor n.寒战；发冷；僵直
rigorous a.严峻的，严厉的；严酷的；严密的，精确的
rim n.边，缘，框；边缘v.装边
rinse v.冲洗；漂清
riot n./v.骚乱；闹事
rip v.撕，扯；划破
ripe a.成熟的
ripen v.成熟
ritual n./a.仪式(的)；典礼(的)
rival v.竞争；与…抗衡a.竞争的
n.竞争对手 
rivalry n.竞争；竞赛；敌对
roar v./n.吼，咆哮；轰鸣
roast v./n.烤；炙；烘
robbery n.抢劫；盗取
robe n.浴衣；长袍
rod n.杆，棍，棒
roll v.滚动，转动；卷;绕n.卷，卷状物；面包卷；名册
roller n.辊；滚筒；压路机
rot v./n.腐烂；腐朽;腐败
rotary a.旋转的n.运转的机器
rotten a.腐烂的，腐朽的；腐败的
rough a.粗糙的；粗野的，粗鲁的;粗略的
roughly ad.粗糙地；粗略地
routine n.常规的；例行的n.常规;例行公事
row n.排，行v.划(船)等
royal a.王室的；皇家的
royalty n.皇家，皇族；王位;王权
rub v.擦，摩擦
rubella n.风疹
ruby n.红宝石a.红宝石色的v.染成红宝石色
rug n.小地毯；围毯
rumo(u)r n.传闻；谣言v.谣传
rupture n.破裂；疝；突出
rural a.农村的
rust v.生锈n.铁锈
sabotage n.故意毁坏；破坏
sac n.囊；液囊
sack n.袋；麻袋v.装…入袋
sacred a.神的；神圣的
sacrifice n.牺牲；牺牲品；祭品v.献祭；牺牲；献出
sadden v.使悲哀；使忧愁
saddle n.鞍子；马鞍v.装马鞍
saint n.圣人，圣徒；(S-，略作St.用于人、地名前)圣…a.神圣的
sake n.缘故
saline n.盐水
salubrious a.(气候，空气等)有益健康的；健康的，有利的
salutary a.有益健康的；有治疗作用的；有益的
salute v.敬礼；行礼；鸣礼炮，迎接，欢迎n.招呼，行礼
salvage v./n.海上救助；抢救；打捞
salve n.油膏剂；药膏；止痛药
sanatorium n.疗养院；休养地
sanitary a.有助健康的；有疗效的
sane a.无疾病的；健全的；神智正常的；明智的
sanitarian a.公共卫生的；保健的n.公共卫生学家；保健专家
sanitary a.关于环境卫生的；清洁的；卫生的
sarcasm n.讽刺，挖苦
sardine n.沙丁鱼
satchel n.书包；小提包
satellite n.卫星；人造卫星
satire n.讽刺
saturate v.使饱和；浸透
saturation n.饱和；浸透
sauce n.调味汁；酱汁v.调味
saucer n.茶托；碟子
sausage n.香肠，腊肠
savage a.野蛮的;残暴的n.未开化的人
saw v.锯,锯开n.锯子,锯床
scab n.痂v.结痂
scabies n.疥疮
scale n.标度；天平;标尺;比例尺v.过秤；测量;升高
scalp n.头皮
scalpel n.手术刀
scan v.扫描；审视；浏览
scanty a.不足的；贫乏的
scar n.伤疤；瘢痕；创伤v.(使)留下伤痕；结疤
scarce a.稀少的，罕见的；缺乏的；不足的
scarcely ad.几乎不；勉强
scare v.惊吓，受惊；使恐慌n.惊慌；惊恐
scarf n.围巾；头巾
scarlet n./a.猩红色(的)；鲜红的(的)
scatter v.驱散；散开；撒布，撒播
n.消散；分散 
scavenge v.清除(污物，垃圾等)；以(腐肉，腐物等)为食
scene n.景色，景象；(戏)-场；布景(事件或故事发生的)地点
scenery n.风景，景色；舞台布景
scent n.气味；香气；香水v.嗅，闻
schistosomiasis n.血吸虫病
schizophrenia n.精神分裂症
sclerosis n.硬化(症)
scold v/n.训斥，责骂
scorch v.烧焦；枯萎
scorn n./v.藐视，轻蔑
scout n.侦察员；侦察机v.搜索;侦察
scramble v.爬行，攀爬；杂乱蔓延;碎片；片段；废料
scrape v.擦；擦伤；刮去n.刮削;擦伤；擦痕
scratch v.搔；抓；扒n.搔；抓；起跑线
screen v.遮蔽；庇护n.屏风；幕
screw n.螺钉；螺丝v.拧；拧紧
screwdriver n.起子
script n.手迹；手稿，打字原稿v.把…改编为剧本
scrub n./v.刷洗，擦洗
scrupulous a.审慎的；严格认真的,一丝不苟的
scrutinize v.细看；仔细检查
scurvy n.坏血病
seagull n.海鸥
seal n.封口；封条；封蜡;印戳；海豹v.封，密封
secrecy n.秘密；保密
secretary n.书记；秘书；部长；干事
secrete v.藏匿；分泌
secretive a.不坦率的；分泌的
secretary a.分泌的
section n.切开；切片；章节；部分；处；科；截面；剖视图v.把…分成段；将…切片
security n.安全；治安保卫；安全防卫措施
sedative n.镇静药；止痛药
sedentary a.坐着的；静坐的
sediment n.沉淀；沉积物
seep v.渗出；渗溢
segment n.切片；部分；片断；段,节
v.分割 
segregation n.分离；隔离
seize v.抓住；捉住；夺取，占领
selfish a.自私的，利己的
semester n.学期；半年；半学年
semiconductor n.半导体
semi fluidn./a.半流质(的)
seminar n.研究班；讨论会
senate n.参议院
senesce v.开始衰老
senescent a.开始有衰老现象的,衰老的
senile a.老年的；年老所致的
senior a.年长的；资格老的；地位高的n.年长者；前辈
sensation n.感觉，知觉；轰动，轰动一时的事物
sensational a.感觉的；轰动的，耸人听闻的
sensitivity n.敏感性；灵敏性；灵敏度
sensitize v.使敏感；致敏
sensory a.感觉的；传递感觉的
sentiment n.思想感情；情操；情绪
separator n.分离者；分离器
septic a.腐败性的；脓毒性的；败血病的
sequel n.继续；后果；后发病；后遗症
sequel n.后遗症；后发病；结果
sequence n.继续；连续；序列；顺序；结果v.按顺序排好
serial a.连续的，一连串的；连载的
n.连载小说；连本影片 
serology n.血清学
serpent n.蛇
serum n.血清
sesame n.芝麻
session n.会议；一届会议；会期
sever v.分离；切断
severe a.严厉的，严格的；严重的；凛冽的；严峻的；艰难的
sewage n.污水，污物v.用污水灌溉
shabby a.褴褛的；破旧的
shady a.成荫的；背阴的；阴暗的，隐藏的
shame n.羞愧；耻辱v.使羞愧；使难为情
shameful a.可耻的，丢脸的；不道德的
shampoo n.洗头，洗发，洗发剂，v.用洗发剂洗(头)
shareholder n.股东
shave v.剃；刮；削；修剪n.刮脸
shear v.剪，剪…的毛，修剪n.剪
sheath n.护套；鞘
shed n.棚；车库v.脱落，脱去；流出，流下
sheer a.纯粹的，十足的；陡峭的
ad.全然；彻底 
shell n.壳，贝壳；炮弹
shelter n.躲避处；掩蔽v.掩蔽,庇护
shield n.盾；屏障v.防护；保护
shift v./n.转移；移动；转变：轮班
shilling n.先令
shipwreck n./v.船舶失事
shiver v./n.战栗，发抖
shovel n.铲，铁锹v.铲，铲起
shower n.阵雨，暴雨；沐浴，淋浴
v.下阵雨；倾注 
shrewd a.机敏的；精明的
shriek n.v.尖叫
shrill a.尖声的；刺耳的v.尖叫
shrimp n.虾
shrink v.起皱；收缩；退缩，畏缩;缩水
shrinkage n.皱缩；收缩；减少
shrug v.耸(肩)n.耸肩
shudder v./n.震颤，战栗
shunt v.分路；分流n.旁路;分流术
shuttle n.梭，滑梭；穿梭般的来回
v.往返递送；穿梭般来回移动 
sickle n.镰刀
sieve n.筛;筛网
sift n.筛,筛分;过滤;细查;选拔
sigh v./n.叹气，叹息
sigmoid n.乙状结肠
signature n.签名，签字；(处方上的)用法说明
silicon n.硅(旧名矽)
silicosis n.硅肺；矽肺
simplicity n.简单；单纯；质朴
simultaneously ad.同时发生地，同时存在地
sin n.罪，罪恶v.犯罪
sincere a.诚恳的，真诚的
singularity n.单一，独个；异常，非凡
sinus n.窦；窦房结
sip v./n.呷，啜
site n.场所，地点v.定…地点
situate v.使位于；使处于
skeleton n.骨骼；骨架a.骨骼的
sketch n.素描；速写；草图；梗概，大意v.速写，写生
skid n.刹车，制轮器；打滑，溜滑
v. 刹住；打滑
skull n.头盖骨，颅骨
slack a.懒散的，无精打采的；萧条的n.淡季，萧条期(pl.)便裤，宽松的裤子
slander v.n.诽谤；造瑶中伤
slang n.俚语；行语
slap v./n.拍，掌击
slaughter v./n.屠杀；屠宰
sleeve n.袖子v.装袖子
slender a.细长的；苗条的
slice n.片，薄片v.切成片
slide v./n.滑，滑动n.幻灯片
slim a.细长的；苗条的v.(使)变苗条
slip v.滑，滑倒；使脱臼n.疏忽；错误
slipper n.拖鞋
slippery a.滑的，滑溜的
slit v.切开；撕开n.狭长切口,细长裂缝
slogan n.标语；口号
slope n.坡，斜坡；倾斜，斜度v.倾斜
slot n.狭孔；缝；槽v.开槽于
slough n.蛇(脱的)皮；腐肉，死肉，腐痂v.脱皮；(痂等)脱落
sluggish a.懒惰的；迟钝的；萧条的
slum n.贫民窟；贫民区；陋巷
slumber n.睡眠；微睡
sly a.狡猾的；狡许的
smallpox n.天花
smash v.打碎，粉碎
smear v.涂；敷；弄脏.n.污点；涂片
smother v.使窒息；透不过气来；忍住；抑制
smuggle v.走私，私运
snack n./v.小吃；快餐
snag n.残根；暗礁；断牙；歪斜不齐的牙齿；隐伏的困难
snail n.蜗牛
snap v./n.猛咬，咬住;折断;拉断
