abase v.降低，羞辱
engage v.吸引；雇佣；答应；结合；订婚
engaging a.有魅力的，有吸引力的
engender v.产生，导致
engross v.独占
enhance v.增加；改进
enigma n.谜
enigmatic a.朦胧的；谜一样的
enmity n.憎恨；仇恨
ennui n.厌倦
enormity n.巨大的，严重的，极恶劣
enrapture v.使其狂喜
ensconce v.安排妥当
ensemble n.全体；歌舞团；套装
entail v.要求，需要；牵涉到
enterprising a.有魄力
enthrall v.俘获
entice v.吸引；引诱
entitlement n.权利
entity n.实体
entomology n.昆虫学
entourage n.随从，随行人员
entrance v.使其着迷；使其神志恍惚
entreat v.恳求
entrepreneur n.商人，企业家，承包人
enumerate v.枚举
enunciate v.阐明
eon n.时代
ephemeral a.朝生暮死，短暂，短命
epic n.史诗；剧作
epicure n.老饕；享乐主义者
epigram n.警句；讽刺民谣
epilogue n.尾声；收场白
episodic a.插曲式的
epistolary a.书信的
epitaph n.墓志铭，挽联
epithet n.绰号
epitome n.典型，摘要
epoch n.时代
equable a.平静的，均衡的，稳定的
equanimity n.镇定
equestrian n.骑师
equilibrium n.平衡
equine a.似马的
equinox n.昼夜平分点，春分，秋分
equitable a.公平的，公允的
equity n.公平，公正
equivocal a.蓄意误导；含混，模棱两可
equivocate v.撒谎；误导
erode v.侵蚀
erotic a.激情的
erratic a.奇怪的；不可预测的
erroneous a.错误
erudite a.博学的
escapade n.胡闹；奇怪、出格的行为
escapism n.逃避现实，纸醉金迷
eschew v.避免
esoteric a.难以理解的，深奥的
espionage n.间谍行为
espouse v.接受，支持
esteem v.尊重；估价
estranged a.分离的；孤立的
ethereal a.轻的，空气的；像天堂的
ethnic a.种族的
ethos n.社会精神特质，思潮，风气；气质
etymology n.语源学
eulogy n.颂词；赞美词
euphemism n.委婉的表达
euphonious a.悦耳的
euphoria n.非常愉快；病态的愉快，愉悦症
evanescent a.消散的；凋零的
evasive a.逃避的
evenhanded a.公平的
evince v.表示
evocative a.唤起的
ewe n.母羊
exacerbate v.恶化，加剧
exacting a.苛刻的
exalt v.晋升；赞扬
exasperate v.激怒
exceptionable a.不可的，可反对的
excerpt n.摘抄，摘录
excise v.去除
exclaim v.呼喊，大叫
excoriate v.责难，挖苦，批判；揭露
exculpate v.开脱，洗脱
execrable a.非常糟糕的
execute v.执行，完成
exegesis n.解释，注解，通译
exemplary a.出色的；典范的；（杀鸡儆猴的）例子
exemplify v.作为典型；具体化
exempt a.被免除的
exertion n.努力，尽力
exhaustive a.彻底的，完全的
exhilarating a.爽快的，使人愉快的
exhort v.劝诫，忠告
exhume v.出土，发掘
exigency n.紧急情况
exodus n.离开，启程
exonerate v.开脱，免罪
exorbitant a.过度的
exorcise v.驱邪
exotic a.陌生的，外来的，奇异的，异国情调
expansive a.扩张的；爽快的；广阔的
expatriate n.放逐；被放逐者
expedient a.合适的，有利的；策略性的
expedite v.加速，催促
expenditure n.支出，花费
expertise n.专业知识，技能
expiate v.赎罪
expletive n.感叹词；咒骂
explicate v.解释，澄清
explicit a.清晰的；坦率的
exploit n.壮举
exploit v.开发，开拓
expository a.解释性的
exposure n.曝光，揭露；暴露（于疾病等）的状态
expropriate v.没收，剥夺，征用
expunge v.取消，去除，排除
expurgate v.清除，净化
extant a.现存的
extent n.范围；程度
extenuate v.弱化；减轻
extol v.赞美
extort v.敲诈，勒索
extradition n.引渡
extraneous a.肤浅的，不重要的
extrapolation n.推测，推断
extricate v.解脱，放出，释放
extrinsic a.外围的，不重要的；外来的
extrovert n.性格外向的人
extrude v.挤压，逼
exuberance n.富得流油的；精力充沛；浪费，过度
exude v.卸下，流出
exult v.高兴，兴高采烈
fabricate v.制造；编造（谎言）
facade n.正面的；表面的，肤浅的
facet n.（宝石的）琢面；方面
facetious a.不合时宜的玩笑；幽默
facile a.充足的；容易完成的；肤浅的
facilitate v.促进；帮助；使变容易
facsimile n.复制品
faction n.派别；内讧；纠纷
faculty n.才能，教职员工
fallacious a.假的；误导的
fallible a.容易犯错的
fallow a.休耕地；潜伏的；不活跃的
falter v.犹豫；踌躇
fanaticism n.狂热的，盲目的
fancy n.爱好；奇特；想象
fanfare n.号角声
farce n.闹剧；嘲笑
fastidious a.挑剔的；难伺候的
fatalism n.宿命论
fathom v.领会；调查，测量
fatuous a.愚蠢的；不可理喻的；不理智的
fauna n.动物志
fawning a.奉承
faze v.折磨，打击
feasible a.可行的
fecundity n.丰饶
feign v.假装；捏造
feint n.假的，淡的，不鲜明的；佯攻
felicitous a.措辞巧妙的；精巧的
felicity n.欢乐；适当
fell a.凶猛的，致命的
fell v.放倒，打倒
felon n.重罪犯
feral a.野生的，未驯服的
ferment n.激怒；挑起骚动、暴乱
ferret v.侦查；搜出；赶出
fervent a.炙热的
fervid a.炙热的
fervor n.热情；激情
fester v.使溃烂，化脓
festive a.欢乐；庆祝
fetid a.恶臭的
fetter v.羁绊
fiasco n.彻底失败
fickle a.变化无常的；薄情的
fictitious a.想象的
fidelity n.忠诚
figment n.发明；臆造的事务
figurative a.比喻
figurine n.小雕像
filament n.灯丝；精细的织物或线
filch v.偷
filial a.子女的
filibuster v.（发表长篇演讲来）阻挠法案通过
finale n.结论，结尾，结局
finesse n.精密的技巧
finicky a.过分讲究；鸡毛蒜皮
firebrand n.总惹麻烦的人，惹事生非者，捣乱人
fissure n.裂缝；分歧
fitful a.断断续续；间歇
flabbergasted a.大吃一惊；目瞪口呆
flaccid a.软弱的；无活力的
flag v.萎缩；衰退
flagrant a.非常坏的；残忍的；恶名昭著的
flair n.才能
flamboyant a.华丽的
flaunt v.招摇；炫耀
fleck v.使起斑点
fledgling a.无经验的
fleece n.羊毛外套
fleece v.抢劫；诈骗
flick n.轻弹；轻打
flinch v.畏首畏尾，退缩；犹豫
flippant a.轻率的，没礼貌的，嬉皮笑脸的
flit v.掠过
floe n.浮殡冰块；大浮冰
flora n.植物志
florid a.华丽的；红润的
flounder v.挣扎，辗转；困难地奋斗
flourish v.生长；繁荣；装饰
flout v.轻视；嘲笑；愚弄
fluctuate v.波动的；起伏的，摇摆不定的
fluency n.（语言）流利
fluke n.意外；小概率事件
fluster v.使混乱，使迷惑
flux n.变迁；流动
fodder n.粗饲料；饲养
foible n.缺点；弱点
foil n.烘托；衬托
foil v.打击；打败，挫败
foliage n.树叶
foment v.鼓动，煽动
foolhardy a.愚勇的；傻大胆儿
fop n.花花公子；过分注意衣着的男人
forbearance n.耐心
ford n.津；浅滩
forebears n.前人；祖先
foreboding n.不详的预感
forensic a.法院的；适于法庭的
foreshadow v.预言；预测
foresight n.洞察力
forestall v.预防
forgo v.放弃
forlorn a.孤苦的，凄凉的
formality n.仪式；礼节
formidable a.威胁的，险恶的
forsake v.放弃
forswear v.放弃
forte n.强项，特殊才能
forthright a.坦率的；豪爽的
fortitude n.勇敢的
fortuitous a.偶然的
forum n.论坛
foster v.养育，培养；鼓励
founder v.完全失败；沉默
founder n.创办人
fracas n.争吵；混战
fractious a.蛮横倔强的
frail a.弱的
franchise n.公民权；营业执照
frantic a.狂乱
fraternize v.友善
fraudulent a.欺骗的
fraught a.满的
fray n.争吵
frenetic a.发狂的
frenzied a.狂乱的
fresco n.壁画
fret v.被激怒
friction n.摩擦
frigid a.刺骨寒
frivolous a.轻佻的；嬉皮笑脸的
frolicsome a.闹着玩的；嬉戏的
frond n.棕榈叶；蕨叶
frugality n.俭省节约
fruition n.享用；成就；实现
frustrate v.阻碍；挫败
fugitive a.短暂的，易变的；流动的
fulcrum n.（杠杆的）支点
fulsome a.过分的
fundamental v.基本的，基础的
furlough n.休假
furor n.非常激动
furtive a.隐秘的；偷偷摸摸，鬼祟
fusion n.熔合；熔接
futile a.没出息；无望，没效果的
gadfly n.牛蝇；招人烦的人
gaffe n.失态；出丑
gainsay v.否认，拒绝
gait n.步态，步法；速度
galaxy n.星系；一群显赫的人；一系列重要的人或物
gale n.大风；一阵感情的爆发
gall n.痛苦；烦恼；恼怒
gall v.惹恼；侮辱
galleon n.大帆船
galvanize v.电镀；刺激，激励
gambit n.弃子抢先
gamely ad.勇敢的，有精神的
gamut n.整个领域
gape v.张着嘴呆看；裂缝
garbled a.混淆
gargantuan a.巨大的
garish a.俗气；颜色太杂
garner v.收集，储存
garnish v.装饰
garrulous a.贫嘴
gauche a.粗笨的，粗糙的
gaudy a.华而不实的
gaunt a.瘦骨嶙峋，憔悴；荒芜
gavel n.棒槌
gawk v.张着嘴呆看
genealogy n.家谱
generality n.一般性
generate v.产生；创造
generic a.普通的
genesis n.发源，源头
geniality n.亲切；同情
genre n.风格（文学、艺术）
genteel a.上流的
gentility n.有教养，文雅
gentry n.贵族
germane a.密切相关
germinal a.未成熟的，幼芽的
germinate v.发芽
gesticulation n.动作；手势
ghastly a.恐怖的
gibberish n.胡话；嘟囔
gibe v.嘲笑
giddy a.眼花缭乱
gingerly ad.小心翼翼地
girth n.方圆；周围环境
gist n.精华
glacial a.冰河的，冰川的
glaring a.耀眼的
glaze v.上釉
glib a.光滑，柔顺；口齿伶俐，圆滑
glimmer v.闪烁
gloat v.垂涎；幸灾乐祸，洋洋得意
glossary n.词汇表
over v.掩盖
glossy a.光滑有光泽的
glower v.瞪着，愤怒的看着
glut v.充斥；过量
glutton n.暴饮暴食者，饭桶
gnarled a.扭曲
gnome n.地精；小矮人；土地公公
goad v.刺激；激励；驱策
gorge n.峡谷
gorge v.狼吞虎咽
gory a.血腥的
gouge v.挖出；撕下
gourmand n.老饕
gourmet n.品尝家；美食比赛的评委
graduated a.分级；排序
graft n.移植；移植物；嫁接
grandeur n.庄严，伟大，威严
grandiloquent a.语言夸张的；词藻浮华的
grandiose a.自命不凡；堂皇；夸张的
granulate v.粒化
graphic a.图像的；图画的
grapple v.格斗，摔跤
grate v.磨碎；惹恼；因摩擦发出的刺耳声音
gratify v.取悦
gratis a.免费的
gratuitous a.无条件的；无理由的；免费的
gravity n.重力；严重，庄严，严肃
gregarious a.社交的；群居
grievance n.委屈；冤情；不平
grill v.盘问
grimace n.扭曲的脸；做鬼脸
grisly a.毛骨悚然的；恐怖的，可怕的
grouse v.发牢骚
grotesque a.稀奇古怪的；怪异
grove n.小树林
grovel v.趴，匍匐
grudging a.不情愿；勉强
gruel v.稀粥；极度紧张
grueling a.重罚；使其筋疲力尽
gruesome a.可怕的
gruff a.粗糙的；粗暴的
guffaw n.狂笑，哄笑
guile n.奸诈狡猾；诡计
guileless a.诚实的
guise n.外观；装束
gullible a.易受骗的
gustatory a.味觉的
gusto n.爱好，嗜好；喜欢
gusty a.多风的
hackneyed a.常见的；不希罕，陈腐
haggard a.枯槁的；憔悴的
haggle v.讨价还价
hallowed a.神圣化的
hallucination n.幻觉，幻想
halting a.犹豫的
hamper v.阻挡，牵制，妨碍
haphazard a.随机的
harangue n.夸大的讲话
harass v.烦恼
harbinger n.先驱
harbor v.庇护；隐藏
hardy a.艰苦的；勇敢的
harrowing a.痛苦；悲怆
haughtiness n.傲慢；不逊
hazardous a.危险的
hazy a.朦胧的；模糊的
headlong a.轻率的
headstrong a.硬脖子；任性；不屈
heckler n.质问者
hedonist n.享乐主义者
heed v.注意，关注，留意
heedless a.轻蔑的；不理睬的
heinous a.可恶的，令人深恶痛绝
herbivorous a.吃粮食的（动物）
heresy n.少数意见，异端
hermetic a.密封的，气密的
hermitage n.隐居的居所
heterodox a.非主流；异端
heterogeneous a.异类，异种；不纯
heyday n.鼎盛时期
hiatus n.缝隙；短暂的空白
hibernal a.冬天的
hibernate v.冬眠
hierarchy n.分级，排序了的
hilarity n.狂欢，欢闹
hindrance n.障碍物
histrionic a.戏剧性的
hoard v.储藏
hoary a.灰白的
hoax n.伎俩；小聪明
hodgepodge n.大杂烩
holster n.手枪套
homage n.敬意
homogeneous a.同类的
hone v.磨尖
hoodwink v.欺骗，迷惑，蛊惑
horde n.拥挤
horticultural a.园艺的
host n.很多；主人；宿主
hostility n.不友好，敌意
hovel n.小屋
hover v.逗留；盘旋；等待
hue n.色调
hulking a.大量的，巨大的
humane a.仁慈
humdrum a.单调的
humid a.潮湿的
humility n.谦逊
hurtle v.冲击；碰撞；急冲
husband v.节约
hybrid n.混合的，混血的
hydrophobia n.恐水症；狂犬病
hyperbole n.夸张
hypercritical a.及其夸张
hypochondriac n.无病呻吟；忧郁症
hypocritical a.伪善；欺骗
hypothetical a.基于假设的，设想的，假想的
ichthyology n.鱼类学
icon n.偶像，象征；图标
iconoclastic a.打破旧习
ideology n.意识形态
idiom n.习语；成语
idiosyncrasy n.特性，特质；古怪的，离心的
idolatry n.过度崇拜
ignite v.点燃
ignoble a.不高贵的；不光彩的
ignominy n.丢脸；抹黑；耻辱
illicit a.非法的
illimitable a.无限
illuminate v.照亮；明朗；澄清
illusion n.幻觉
illusory a.虚幻的，不真实的
imbalance n.不平衡，不成比例
imbibe v.吸收
immaculate a.无暇的
imminent a.即将到来，逼近的
immobility n.无法移动，不可移动的
immune a.免疫；抵抗
immutable a.不可动摇的，不能改变的
impair v.伤害
impale v.刺穿
impalpable a.难以明了，难以觉察的
impart v.赋予；告诉
impartial a.公平的
impassable a.无路可通的；没法通行
impasse n.走投无路；僵局
impassive a.冷漠的
impeach v.控告，检举；弹劾
impeccable a.没有缺点
impecunious a.身无分文的
impede v.阻止；拖延
impediment n.妨碍；障碍物
impel v.驱使
impenetrable a.难以进入的；难以渗透的；不可理解的
impending a.接近的；附近的
impenitent a.执迷不悟的
imperative a.及其重要，及其关键
imperceptible a.察觉不到的
imperial a.帝王的；皇帝的
imperious a.专横的
impermeable a.不能渗透的
impertinent a.不相干的；鲁莽的
imperturbable a.沉着冷静；平静
Impervious a.不会被损的；不能渗透的
impetuous a.冲动的，鲁莽的
impetus n.动力；动机
impiety n.不敬（对神）；不虔诚
impinge v.撞击；碰撞
impious a.不敬的；不礼貌的
implacable a.不能平静的
implausible a.难以臵信的；不像是真?
implement v.贯彻，实现；用工具实现
implicate v.牵连，牵扯（犯罪）；暗示
implication n.含义；暗示
implicit a.会意的，意会而不言传；暗示的
implore v.恳求
imply v.暗示；表示
importunate a.胡搅蛮缠的；苛刻的
importune v.强求；不停的求
impostor n.冒充者；冒名顶替的人
impotent a.无能的；弱的
impoverished a.穷
impregnable a.不受影响的；无敌的
impromptu a.一时冲动的；即兴的
impropriety n.不合适，不恰当
improvident a.浪费的
improvise v.临时准备；即席创作，现编
imprudent a.轻率的，判断错误的
impudence n.无礼；厚颜无耻
impugn v.打击；挑战
impunity n.免受惩罚
inadvertently ad.不经意的
inalienable a.无可取代的；不能给与的
inane a.傻；粗心
inanimate a.了无生气的，死气沉沉的
inarticulate a.不善于表达的；口齿不清的
inaugurate v.开始；开幕；开幕式
incandescent a.白炽的
incantation n.咒语
incapacitate v.使其无能力
incarcerate v.囚禁
incarnation n.化身；具人形
incendiary n.纵火者
incense v.激怒
incentive n.刺激，驱动
inception n.开始，开端
incessant a.不停的
inchoate a.未成型的，早期的，刚开始的，发展中的
incidence n.发生；发生率；影响的范围；入舐角；关联
incidental a.不重要的；少数的
incipient a.开始；早期的
incisive a.尖锐；深刻，激烈
incite v.煽动，刺激，驱使
inclement a.险恶的；严酷的
incline n.倾斜，斜面
inclined a.倾向；倾向于，弯曲
inclusive a.包揽一切的
incoherent a.缺乏逻辑的，不聪明的；陈腐的
incompatible a.不和谐；不兼容
incongruous a.不调和的；荒谬的
inconsequential a.不合理的，不重要的
inconsistency n.不一致的，自相矛盾的
incontinent a.缺乏自制力，放肆
incontrovertible a.无疑的，无可争议的
incorporate v.合并，联合
incorporeal a.非物质的，无形的；无实体的
incorrigible a.不可救药
incredulous a.怀疑的
increment n.增加
incriminate v.控告
incrustation n.驻扎
incubate v.孵卵
inculcate v.谆谆教导
incumbent a.义不容辞的，职责在身的
incur v.招致
incursion n.袭击
indefatigable a.疲倦
indelible a.去不掉的；不可磨灭的
indentation n.槽；小开口
indenture v.契约
indeterminate a.不确定
indicative a.预示的
indices n.pl.符号；暗示
indict v.控告；起诉
indifferent a.普通的，无关紧要的
indigenous a.土产的，土生土手的，本地的
indigent a.穷困的
indignation n.义愤；愤慨
indignity n.侮辱
indiscretion n.轻率；莽撞
indiscriminate a.随意的；不分青红皂白的
indisputable a.没有争论余地；非常清楚的
indissoluble a.不能分解的；永久的
indoctrinate v.教导；灌输
indolent a.懒惰
indomitable a.不屈服的；不可被征服的
indubitable a.不容臵疑的；无疑?
induce v.劝诱；导致，引起
indulgent a.宽容，纵容，溺爱
industrious a.勤奋的，努力的
inebriated a.醉的
ineffable a.不可言喻的，无法用语言表达的；不能说的
ineffectual a.无效的，弱的
inefficacious a.无能的，无效的
inept a.不相称的，不合适的，不称职的
inequity n.不公平
inert a.惰性的，不活跃的
inevitable a.不可避免地
inexorable a.无情的；残酷的
infallible a.一贯正确的
infamous a.臭名昭著的，恶名远扬的
infantile a.婴儿的，幼稚的
infer v.推导，总结
infernal a.魔鬼的，地狱的
infidel n.异教徒，异端；不信宗教的
infiltrate v.渗透
infinitesimal a.微小的
infirmity n.弱点
inflated a.夸张的，虚华的，被放大的
influx n.注入，流入
informal a.非正式的；不拘礼节的
infraction n.打破（常规）
infuriate v.激怒，热火
infusion n.灌输；浸泡；注入
ingenious a.聪明的
ingenue n.天真无邪的少女
ingenuous a.心无城府的；天真的；幼稚的；可信的
ingrained a.牢固的；深深扎根的；深入人心的
ingrate n.忘恩负义者；不领情的人
ingratiate v.迎合，讨好；流行开来
inherent a.固有的，内在的；与生俱来的
inhibit v.限制，防止；阻碍
inimical a.不友好的；敌意的；有害的
inimitable a.独一无二的，独特的；防伪的，难以模仿的
iniquitous a.邪恶的
initiate v.开始，发源
injurious a.有害的
inkling n.暗示，提示
innate a.先天的，天生的
innocuous a.无害的，无辜的
innovation n.发明；变革
innovative a.新奇的；创新的
innuendo n.暗示，旁侧敲击；暗讽；讽刺，冷嘲热讽
inopportune a.不合时宜的
inordinate a.紊乱的；不受限制的
inquisitor n.调查者；盘问者
insalubrious a.有害的
insatiable a.不容易伺候的；贪婪的
inscrutable a.不可渗透的；不可理解的，谜
insensible a.迟钝的；硬心肠的
insidious a.阴险的，奸诈的，狡猾的；鬼鬼祟祟的
insightful a.有洞察力的
insinuate v.暗示，含沙舐影；慢慢的夺取，巧妙的迂回
insipid a.索然无味的；单调的
insolence n.傲慢
insolvent a.破产
insomnia n.失眠
instigate v.驱使；激励，鼓动
insubordination n.反抗，不屈
insubstantial a.无实体的，虚无的；脆弱的，不坚固的
insularity n.与外界隔绝；僵化；思想狭窄
insulated a.分离；隔离
insuperable a.不可战胜的，不能克服的
insurgent a.造反的，起义的
insurmountable a.不能克服的，不能超越的
insurrection n.谋反的，造反的
intangible a.难以明了的，无形的；暧昧的，模糊的
integral a.一体的，完整的
integrate v.整合，合并
integrity n.完整性
intellect n.智力
intelligentsia n.知识分子；知识界
intemperate a.过度的；极端的；放纵的
inter v.埋
interim n.临时的；间歇的
interloper n.闯入者；干涉者
interment n.埋葬
interminable a.无尽的
intermittent a.间歇的；断断续续的
interrogate v.审问；讯问
intervene v.干预；干涉
intimacy n.亲密；隐私
intimate v.私下的，秘密的，亲密的；宣告
intimidate v.使害怕
intractable a.难以处理的
intransigence n.不妥协；不让步
intrepid a.无畏的
intricate a.复杂的；错综的
intrinsic a.内在的；固有的
introspective a.内省的；反省的
intrude v.强挤入，侵入；强加于人
intuition n.直觉
inundate v.淹没；吞并
inured a.习惯了的，适应了的
invalidate v.摧毁；使无效；弱化
invasive a.入侵的
invective n.谩骂；非难；恶言相加
inverse a.倒转的
invert v.倒转，翻转
invidious a.易招嫉妒的；不公平的
invigorate v.激发；鼓舞
invincible a.无敌的
inviolable a.无敌的；神圣不可亵渎的
invocation n.祈祷
invoke v.恳请，借助于，找来，调用
invulnerable a.无懈可击的
iota n.极少量的
irascible a.易怒的；暴躁的
irate a.愤怒的；生气的
ire n.怒气
iridescent a.虹彩的
irksome a.令人厌恶的；冗长乏味的
ironic a.讽刺性的
irony n.反话；讽刺
irrational a.无理的，缺乏逻辑的；不理智的
irreconcilable a.不相容的；矛盾的
irrefutable a.不可否认的；不能驳倒的
irrelevant a.不相关的，不照号的
irremediable a.不能挽回的；不能治愈的
irreparable a.不能弥补的，不能修复的；无可挽救的
irrepressible a.压不住的，抑制不住的
irreproachable a.无可指责的；没有缺点的
irresolute a.犹豫不决的
irretrievable a.不能复原的；不能挽回的
irreverence n.不尊敬的
irrevocable a.不能取消的；不能变更的
itinerant a.巡回的
itinerary n.旅行计划；路线
jabber v.快速的说，含混不清的说
jaded a.疲倦的
jargon n.黑话，行话，胡话
jaundiced a.患黄疸病的；有偏见的
jaunt n.短途旅行
jaunty a.无忧无虑的，快乐的，轻松的
jeopardize v.臵于危险之?
jettison v.投弃货物
jingoist n.狂热好战分子；侵略主义者
jocose a.诙谐的
jocular a.诙谐的
jollity n.高兴的；欢乐的
jostle v.推，挤；撞
jovial a.天性善良的；好的；高兴的，愉快的
jubilation n.庆祝
judicious a.公平的
juncture n.危机，转折点；关键点
junta n.小集团；政治团伙
jurisprudence n.法学
justification n.有理，正当；辩护；释罪
kaleidoscope n.万花筒
kernel n.核心的
killjoy n.扫兴的人；煞风景
kindle v.点燃，照亮，激起
kindred a.同族的，同类的；血缘的
kinetic a.运动的；运动学的
kleptomaniac n.偷窃狂；盗窃癖
knave n.流氓；无赖；恶棍
knit v.编织；结合
knoll n.小山包
knotty a.复杂的，错综的；精细的
kudos n.名望，声誉
laborious a.艰苦的，勤劳的
labyrinth n.迷宫
laceration n.破口
lachrymose a.爱哭的
lackadaisical a.懒洋洋的，没上进心的
lackluster a.暗淡的，无光的；单调的
laconic a.简洁的
laggard a.缓慢的，迟缓的
lament v.悲伤，恸哭
lampoon v.讽刺的
languid a.疲倦的，无精打采的
languish v.无力的，憔悴的
languor n.衰弱，萧条
lap v.舔食，泼溅
larceny n.盗窃
larder n.食品室；储藏室
largess n.赠送；赠礼
lassitude n.疲乏
latent a.潜在的
lateral a.侧面的，侧向的
latitude n.范围
laud v.赞美
lavish a.浪费的，大方的
Iax a.粗心
leaven v.发酵
lechery n.好色；动机不纯
leery a.机敏的；狡猾的
legacy n.遗赠
legend n.图例
legerdemain n.戏法；花招
leniency n.温和；宽大，仁慈
lethal a.致命的
lethargic a.昏睡的；瞌睡的
levitate v.升空漂浮（魔法）
levity n.轻佻，轻浮
levy v.征收
lewd a.淫荡的，下流的，好色的；猥亵的
lexicographer n.字典编纂者
lexicon n.字典
liability n.责任；缺点；债
liaison n.联络；连音
libel n.诽谤；中伤
liberator n.解放者
libretto n.歌词，剧本（舞剧，歌剧的）
licentious a.不道德的；下流的；放纵的
lilliputian a.极小的
limber a.柔韧的；可塑的
limerick n.五行打油诗
limpid a.清澈
linchpin n.关键
lineage n.血统
linger v.逗留；闲逛；流连
linguistic a.语言的
liniment n.药膏；擦油
lionize v.奉为名人；游览名胜
liquidate v.清算
list v.倾斜
listless a.倦怠的，冷漠的
litany n.连续虔诚的祈祷
lithe a.柔软的
litigation n.诉讼
livid a.铅灰色的；青一块紫一块的；暴怒的
loath a.不情愿的；勉强
loathe v.厌恶；增武
lofty a.高高在上的
log n.日志；圆木
loiter v.闲逛；徘徊
loll v.懒洋洋的坐或靠
longevity n.长命不老
loom v.织布机
lope v.慢跑
lout n.笨人，呆子
low v.牛叫，哞
lucid a.明晰的；聪明的
lucrative a.有利润的
ludicrous a.可笑的，滑稽的；不重要的
lugubrious a.悲哀的
lull n.平静，安静，暂停，短暂的平息
lull v.安抚，平静；换取信任，使其失去警惕
lumber v.笨重的往前走
luminary n.名气，尊严
luminous a.发光的，闪耀的
lummox n.大而笨重的（通常指人）
lunar a.月亮的
lunge v.突进，刺，冲
lurid a.耸人听闻的；可怕的；惨白的；血红的
lurk v.埋伏
luscious a.美味的，甜美的
luster n.光泽；光彩
lustrous a.闪耀的
luxuriant a.丰富的，富足的；丰富多彩；肥沃的
machinations n.阴谋，诡计
madrigal n.小曲；牧歌
maelstrom n.漩涡
magnanimous a.宽宏大量的
magnate n.富豪，要人；突出的人物，XX大王
magnitude n.巨大的，大数量级的
maim v.伤害
maladroit a.搞砸的；笨拙的
malady n.疾病
malaise n.不适，欠佳
malapropism n.可笑的用词错误
malcontent n.不满的；不满现状的
malediction n.诅咒
malefactor n.犯罪分子
malevolent a.坏心肠的
malfeasance n.渎职；不法行为
malicious a.恶毒的
malign v.毒辣的言语；诽谤
malignant a.恶性的，伤害的；致命的
malingerer n.装病的人；假病号
malleable a.有延展性的；可锻的
malodorous a.恶臭的
mammal n.哺乳动物
mammoth a.巨大的
mandate n.委任；命令
mandatory a.强制的，命令的；义不容辞的
maniacal a.疯狂的；无理智的
manifest a.明白的，显然的；证明，表现
manifesto n.声明
manipulate v,操作
mannered a.做作的，矫饰的
marital a.婚姻的
maritime a.海事的，海运的，海上的
marked a.值得注意的；报仇的目标
marquee n.建筑物入口处的雨棚，遮蔽物
marred a.受损的
marshal v.排序；整理
marsupial n.有袋哺乳动物（袋鼠、袋熊、袋狼）
martial a.好战的；尚武的
martinet n.严格纪律的人
martyr n.殉道者；殉教者；烈士
masochist n.受虐狂
material a.物质的；重要的
materialism n.唯物主义
maternal a.母性的
matriarch n.女家长；掌管全家的老太婆
matriculate v.入学
maudlin a.多愁善感
maul v.粗手粗脚的处理
maverick n.没打烙印的动物；闹独立的人；非国教徒
mawkish a.过分多愁善感；感情脆弱到令人作呕的
maxim n.至理名言；格言
meager a.瘦的；贫乏的，不足的
meander v.弯曲；蜿蜒
meddlesome a.爱管闲事的；好事的；好插手的
mediate v.调解；仲裁
mediocre a.普通的，一般的
meditation n.沉思冥想
medley n.混合
meek a.谦卑的，驯服的；温和的；顺从的
melancholy a.忧郁
mellifluous a.优美的；流畅的；蜜一样的
membrane n.（动植物的）膜，薄膜
memento n.有象征意义的物品；纪念品
menagerie n.动物园
mendacious a.撒谎成性的；撒谎的，假的
mendicant n.乞丐
menial a.仆人的；卑贱的
mentor n.门特；顾问；导师
mercenary a.唯利是图
mercurial a.善变的；无常的
merger n.合并；吞并
mesmerize v.施催眠术
metallurgical a.冶金的
metamorphosis n.变形
metaphor n.隐喻
metaphysical a.形而上学的
methodical a.方法论的；系统化的
meticulous a.小心翼翼的
metropolis n.大都会
mettle n.勇气；精神
miasma n.沼气；瘴气，毒气；天然气
microcosm n.微观世界
migrant a.移居的；候鸟的
migratory a.迁徙的；流浪的
milieu n.环境；（社会）背景
militant a.好战的
mimicry n.模仿
mincing a.装腔作势的
minuscule a.极小的
minute a.极小的
minutiae n.细节；细微之处
mirage n.曲解；海市蜃楼；虚影
mire v.陷入（泥塘）；麻烦缠身
mirth n.欢笑
misanthrope n.厌恶人类的人；憎人者
misapprehension n.错误；误解
miscellany n.杂记
mischance n.霉运；不幸
misconception n.误解
misconstrue v.曲解
misdemeanor n.轻罪
miserly a.吝啬的；贪婪的；坏的
misgivings n.担忧，疑虑
mishap n.意外，灾难
misnomer n.错误的名字；写错名字；用词不当
misrepresent v.误传；有意制造误解
missile n.投掷物
missive n.信件
mite n.小东西；小硬币
mitigate v.减轻；减缓；中和
mnemonic a.记忆的
mobile a.移动的
mock v.嘲弄，嘲笑
mode n.时尚；方式；模式
modicum n.少量
modulate v.控制；调制到标准；调制（信号）
molecule n.分子
mollify v.平息；安抚
molt v.换毛；褪毛
molten a.融化了的
momentous a.非常重要的
momentum n.动量；动力
monarchy n.君主制；君主整体
monastic a.僧侣的；遁入空门的，不问世事
monetary a.金融的
monochromatic a.单色的
monolithic a.单片的，单块的；一体不动摇的
monosyllabic a.单音节的
monotony n.千篇一律的
montage n.蒙太奇
monumental a.雄伟的；厚重的；结实的；纪念的
moodiness n.闷闷不乐
moratorium n.延期偿还
morbid a.病态的，恐怖的；喜怒无常的；不成熟的
mores n.风俗习惯
moribund a.垂死的
