vociferous 大声嚷叫的;大事声张的;喧嚷的,吵闹的,叫嚣的
digression 离题,脱轨,扯到枝节上
mirth 欢笑,高兴
malice 恶意,怨恨,预谋,蓄意犯罪
rigor 严格,严厉,苛刻,严密,严酷,精确
improvisation 即席创作[演奏,演唱]provide->improvse->improvisation
buoyancy 浮性,浮力,轻快
cordial 热忱的,诚恳的,兴奋的
gracious 亲切的,客气的;有礼貌的;通情达理的
dismissive 表示轻视的
ebullient 冒泡的,沸腾的,热情的,热情洋溢的
malleable (金属)可锻的,可锤薄的,有延展性的,可训练的;顺从的
felicitous 巧妙的,适当的,得体的,善于措词的
prosaic 散文的,散文体的,平凡的
cajole 以甜言蜜语哄骗,勾引
strident 轧轧响的,刺耳的,尖锐的
embrace 拥抱,互相拥抱,包含,收买,信奉
paragon 模范,典型
avenge 替...报仇;为...雪耻,报复
pedant 卖弄学问的人,爱炫耀学问的人
egotism 自我中心,自尊自大
dilettante 业余文学、艺术的爱好者
invoke 向神灵祈求保佑;用符咒召唤(魔鬼);行使(法权等);援引(法规、条文等);请求;恳求(援助等)
covet 企图占有（别人东西），贪求，垂涎，觊觎，渴望（after，for）
effrontery 厚颜无耻,厚颜无耻的行为
mediate 仲裁,调停,作为引起...的媒介,居中调停
attenuate 使变稀薄,稀释;削弱
burgeon 萌芽
reconcile 使和解,使和谐,使顺从
mollify 使软化;缓和,减轻;使平静,抚慰
lionize 把...奉为名人,游览...名胜
accost 向人搭话;招呼(不认识的人);(娼妓等)引诱,勾引
galvanize (用电疗)刺激,使兴奋,激励
vilify 诽谤,辱骂,贬低,轻视
flimsy 易坏的,脆弱的,浅薄的,没有价值的,不足信的
forestall 抢先,占先;先发制人
withstand 抵挡,经受住
ramshackle 摇摇欲坠的
justify 证明...有道理[应该],为...辩护
repel 击退,抵制,使厌恶,使不愉快
bequeath 遗赠,遗留,把...传下去
divulge 泄露,暴露
hedonistic 快乐主义者的,快乐论的,快乐主义的
conform 使一致,使遵守,使顺从
unwieldy 笨拙的,不实用的,难处理的,难使用的,笨重的
annotate 注释,评注
invigorate 使精力充沛,使强壮;鼓舞,激励
impoverish 使贫穷,使枯竭
aggrandize 增大,加大,增高,扩充
substantial 坚固的,实质的,真实的,充实的
obtain 获得,得到
backlash 反冲;后冲力;反撞
recourse 求援,求助,[商][律]追索权
reckoning 计算,帐单,算帐,结帐,清算,估计报应,惩罚
forebearance 自制,忍耐,[律]债务偿还期的延展
imbue 浸透
rescind 废除,取消;撤消,解除
consort 陪伴,结交,符合
entangle 使缠上,纠缠,卷入,连累,使混乱
embroil 使卷入,牵连,使纠缠
compliant 顺从的,适应的
quash 取消
convolute 回旋,卷绕,盘旋
suspectable 可疑的,有嫌疑的,值得怀疑的
preachy 爱讲道的,爱唠叨的
vagary 奇特行为,奇想,反复无常的行为
abhorrence 痛恨,憎恶
bereavement 使丧失(亲人);剥夺,夺去(of)
degenerate 退化的
elation 得意洋洋,兴高采烈
customize [计]定制,用户化
unique 唯一的,仅有一种可能的,仅产生一种结果的
spareness 贫乏,缺乏,瘦弱
stark 僵硬的,顽固不化的,严厉的
garnish 装饰
flamboyance 华丽,火焰
contingency 偶然,可能性,意外事故,可能发生的附带事件
manipulate (用势力或不正当的手段)摆布,操纵
particularity 特性
forsee 预见,预知
obsession 迷住,困扰
avocation (个人)副业,业余爱好
encumber 阻碍
commitment 委托事项,许诺,承担义务
pristine 质朴的
generic [生物]属的,类的,一般的,普通的,非特殊的
shopworn 在商店中陈列旧了(或坏了)的,陈旧的,陈腐的
exalt 使喜悦,使得意;使情绪高昂高举;提升
hamper 妨碍,牵制
downplay 不予重视
forego (在位置时间或程度方面)走在...之前,居先
belittle 轻视,使渺小,使...显得渺小
austerity 严峻,严厉,朴素,节俭,苦行
fondness 爱好,溺爱
asceticism 禁欲主义,苦行
virtuosity 艺术鉴别力
clarify 澄清,阐明
solidify (使)凝固,(使)团结,巩固
epitomize 摘要,概括,成为...缩影
decry 谴责
dormant 睡眠状态的,静止的,隐匿的
trenchant (话等)尖刻的,苛刻的,激烈的;清晰的,分明的;鲜明的(轮廓等)
unruly 不受拘束的,不守规矩的,蛮横的,难驾驭的
boisterous (风、海水、行动、言词等)狂暴的,汹涌的,猛烈的,(人或其他行动)喧闹的,吵吵嚷嚷的,兴高采烈的
apt 易于...的,有...倾向的,灵敏的,灵巧的,适当的,切题的,敏捷,倾向是
flagrant 非常的,不能容忍的,恶名昭著的,公然的
covert 隐蔽的,偷偷摸摸的,[律]在丈夫保护下的
inexplicable 无法说明的,费解的;神秘的
occasional 偶然的,非经常的,特殊场合的,临时的
blatant 喧嚣的,俗丽的,吵闹的,炫耀的
infatuation 愚蠢,糊涂,醉心
indolence 懒惰,好逸恶劳,懒散,[医]无痛,[医]愈合缓慢
pendantry 垂饰,下垂物
gallantry 勇敢,豪侠;勇敢的言行
whimsy 怪念头,奇想,任意
bravado 虚张声势,装作有自信的样子
discretion 判断力
rapport 关系;友好关系;和睦
capricious 反复无常的;多变的;任性的
concord 协调，一致；(国际间的)和谐
hostility 敌意,恶意,不友善,敌对,对抗,反对
consonance 一致,调和,[乐]协和音程,[韵]和音
quantify 确定数量
diversion 转移,转换,牵制,解闷,娱乐
disputation 争论,驳斥,议论
preliminary 预备的,初步的
premeditate 预谋,预先考虑
preventative 预防性的
derogate 贬损,毁损
iterate 反复说,重申,重述
appoint 约定,指定(时间,地点),任命,委任
indicate 指出,显示,象征,预示,需要,简要地说明
conflate 合并
conscript 被征入伍的士兵征募
redeem 赎回,挽回,恢复,补偿,兑换
confer 授予(称号、学位等),赠与,把...赠与,协议
relegate 转移,归入,提交
deprive 剥夺,使丧失
disdain 轻蔑,以高傲的态度对待
anonymity 匿名,作者不明(或不详)
avid 渴望的
remuneration 报酬,酬劳;赔偿,补偿
acclaim (以欢呼声)推举,通过,承认,宣布
sparing 节省的(of);吝惜的;爱惜的;节制的
tawdry 俗丽的,非常华丽的
belated 误期的,迟来的
sate 使心满意足,过分的给与
perspicacious 敏锐的;聪明的;判断理解力强的
exhaustive 无遗漏的,彻底的,详尽的,无遗的
cogent 强有力的,使人信服的,使人首肯的,恰到好处的
scintillating 发出火花,闪耀光芒
disjoint (使)脱节,(使)解体,(使)脱臼
squalid 肮脏的
boon 恩惠,实惠,福利
obstruction 阻塞,妨碍,障碍物
tumultuous 喧嚣的
impediment 妨碍,阻碍,障碍物,(言语)障碍,口吃,障碍物
destructive 破坏(性)的
sophomoric 大学或四年制中学之二年级的,一知半解的
incredulous 怀疑的,不轻信的
cloy 因过量而厌烦的,倒胃口的
sclintillating 发出火花,闪耀光芒
reap 获得;遭到报应;得到报偿
posthumous 死后的,身后的,作者死后出版的,遗腹的
acknowledged 承认,答谢,报偿
fulsome 过度的,令人生厌的,过分的
pursue 追赶,追踪,追击,继续,从事
discredit 无信用,疑惑,不名誉,耻辱
nebulous 星云的,云雾状的,模糊的,朦胧的
metaphoric 隐喻性的,比喻性的
immaterial 非物质的,精神的;无形的
potential 潜在的,可能的,势的,位的
incriminate 控告...有罪,使负罪,控告
nominal 名义上的,有名无实的,名字的,[语]名词性的
indisputable 无争论之余地的,明白的
illusory 产生幻觉的,幻影的,错觉的,虚假的,不牢靠的
taxing 繁重的,使疲劳的,费力的
appealing 吸引人的,哀诉似的,恳求似的
strenuous 奋发的,使劲的,紧张的,热烈的,艰辛发奋的
extinction 消失,消灭,废止,[物]消光
longevity 长命,寿命，供职期限，资历
belie 掩饰;伪装
mortality 致命性;死亡率
bolster 支持
reproduction 繁殖,再现,复制品
laconic (用词)简洁的,简明的
asthetic 感觉的
voluble 爱说话的,有口才的,流利的,健谈的,[罕]易旋转的,缠绕的
prescience 预知,先见
sincerity 诚挚,真实,真挚
avarice 贪财,贪婪
complicity 同谋,共犯
mendacity 撒谎癖,虚假,谎言
induction 感应,感应现象,归纳
diminutive 小的,指小的,小型的
fiscal 财政的,国库的,会计的,国库岁入的
bombast 夸大的言辞
theoretical 理论的
conjecture v.推测,臆说,猜想
empirical 完全根据经验的,经验主义的,[化]实验式
tedious 单调乏味的,沉闷的,冗长乏味的
jingle 叮当声
inchoate 未形成的,早期的,不完全的
lullaby 催眠曲,摇篮曲,轻柔的声音
lugubrious （尤指故意装出来的）可怜的,悲惨的,悲哀的
dirge 挽歌,哀悼歌
facetious 幽默的,滑稽的,喜开玩笑的
ballad 民歌,歌谣,叙事歌,流行歌曲,情歌
sprightly 活泼的,生气勃勃的,轻快的,愉快的
irrelevant 不相关的,不切题的
surrender 交出,放弃,使投降,听任
cynical 愤世嫉俗的,冷嘲热讽的;玩世不恭的
categorize 加以类别,分类
pivotal 枢轴的,关键的
ritualistic 仪式的;仪式主义的
salient 易见的,显著的,突出的,跳跃的
supplementary 增补的,补充的,补遗的;追加的
bungler 草率地修补;粗制滥造;笨拙者,经验不够的人
ruffian 凶恶的,残暴的,无法无天的;流氓,恶棍,无赖
stickler 坚持己见的人,困难的问题
daredevil 铤而走险的人,蛮勇的人
naysayer 反对者,否认者
demagogue 煽动政治家(尤指利用情绪或偏见煽动民众,以期获得领导地位及达到私人目的的人)
maverick [美西部]无畜主烙印的小动物(多指离开母牛而迷失的小牛);[口]不随俗者;持异见者;无党无派的政治家
anarchist 无政府主义者
populist [美史]平民党员,平民论者,民粹主义者
moderate 有节制的,稳健的;温和的
reactionary 反动的;复古的;倒退的;保守的;反动分子
snob 假绅士;势利眼;假内行
situate 使位于,使处于
rejuvenate 使年轻,使复原,使恢复精神,使恢复活力,使回春,使更新
excavate 挖掘,开凿,挖出,挖空
constrain 抑制，约束；束缚；使紧张；使不舒服［不自由］
distribute 分发,分配,散布,分布,分类,分区
instrumental 仪器的;机械的;器具的
reconstitute 重新构成[组成、编制、制定]
administer 管理,给予,执行
unverified 未经证实的，未经核对的
disseminate 散布
obsolete 荒废的,陈旧的
salvage 海上救助,抢救,打捞,营救
flounder (在水中)挣扎,困难地往前走,踌躇,发慌
defunct 已废止的,已失效的
properous 繁荣的,兴隆的,昌盛的
commandeer 征募,霸占
lucrative 有利的,赚钱的,合算的,待遇好的
multiplicity 多样,多,重复;重复度,多重性
depletion 损耗;贫化
abridgment 删节,节略,删节本
panoramic 全景的,全貌的
serpentine 蜿蜒的;迂回的,盘旋形的
retrograde 后退的,倒退的;退步[化]的
antithesis 对照;对立;对比
mainstay 支柱,中流砥柱
query 质问,询问,怀疑,疑问
gibe 嘲笑
gaffe [法]过失,不慎的言行,出丑;失败
tryst 约会,幽会
tribute 贡品,礼物,颂词,殷勤,贡物
incidental 附带的,伴随的,非主要的,偶然的,容易发生的
mishap 不幸的事;灾难
allied 联合的,同盟的,与...同属一系
partisan 游击队
pluralistic 兼管数个教堂的,兼职的
sovereign 至高无上的,君主的,独立自主的,完全的
mystical 神秘的,奥秘的
mediocre 普普通通的
predictable 可预言的
enthralling 迷人的
flippant <古>能说会道的,轻率的,没礼貌的,嘴碎的
intelligible 可以理解的,易领悟的,清晰的
fragility 脆弱,虚弱
reminiscence 回忆的往事;怀念的事物;回忆线索,暗示者;引起联想的相似物
plasticity 粘性;塑性,可塑性;柔顺性
acronym 只取首字母的缩写词
tenet 教义,信条;原则,宗旨
plight 情况,状态,困境,盟誓(婚姻)
flavoring 调味品,调味料
inferior 下等的,下级的,差的,次的,自卑的,劣等的
consign 委托，交付；移交；【商】托运
conjoin (使)结合,(使)连结,(使)联合
exclude 拒绝接纳,把...排除在外,排斥
realign 重新排列,再结盟
diffuse 散播,传播,漫射,扩散,(使)慢慢混合
refract 使折射,测定...的折射度
impose 征税,强加,以...欺骗
theatricality 戏剧性的;演戏似的,做作的,夸张的
sullenness 愠怒的,闷闷不乐的
nonchalance 漠不关心;若无其事,不激动,不热情的态度
indispensable 不可缺少的,绝对必要的
baneful 有害的,使人苦恼的
diligent 勤勉的,用功的,细心而继续不断的
supercilious 自大的,傲慢的,目空一切的
unpretentious 不骄傲的,谦逊的
obtuse 钝的,圆头的,愚蠢的,迟钝的
penitent 悔过的
sagacious 有洞察力的,有远见的,精明的,敏锐的
apologetic 道歉的,认错的,辩护的
unassuming 谦逊的,不装腔作势的
perfectionist 十全十美主义者,[哲]至善论者
potentate 当权者
interloper 闯入者,(为图私利)干涉他人事务者,无执照营业者
validity 有效性,合法性,正确性
inconsequential 不合逻辑的,不合理的
entrench 使盘踞,固守,牢固树立;使处于有力地位
credibility 可靠性,确实性
prevalent 普遍的,流行的
absurdity 愚蠢;荒谬;谬论;荒唐事[话等]
outmoded 过时的
novelty 新颖,新奇,新鲜,新奇的事物
infrequent 稀有[罕见]的;很少发生的;不寻常的
cathartic 泻药,通便药
definitive 最后的,确定的,权威性的
fundamental 基础的,基本的
conclusive 决定的，结论性的，决定性的；最后的；确凿的
indeterminate 不确的,不确定的,模糊的
somber 阴森的,昏暗的,阴天的,忧郁的
amused 愉快的,开心的,好玩的
dazzle (使)眼花,眩耀
astound 使惊骇,使大吃一惊
flora 植物群(某一地区或某一时代的一切植物)
sierra [美]【地理】峰峦起伏的山岭;岭
archipelago 群岛,多岛海
flotilla 小舰队,小型船队
savanna 热带(或亚热带)稀树大草原
suspicious 可疑的,令人怀疑的
averse 厌恶的,不乐意的;反对的
encumbrance 阻碍,累赘,妨害物
ignorant 无知的,愚昧的;无知造成的
abasement 贬,降低(地位,价值,身分);自卑,自贬;下降
undaunted 无畏的,勇敢的;大胆的;刚毅的
chicanery 强辩,强词夺理,狡辩,欺骗
approximate 近似的,大约的
assert 断言,声称
explicit 明析的;明确的,清楚的
innovative 创新的,革新(主义)的
discriminating 识别的,有差别的,有识别力的
propensity 倾向
disregard 不理,不顾,不管,不重视
compunction 良心的谴责,后悔,悔恨
pejorative 变坏的,轻蔑的
retentive 有保持力的,保留的
benign (病)良性的,(气候)良好的,仁慈的,和蔼的
assure 断然地说,确告,保证,担保
fragment 段落,片段,碎片,断片
tout 招徕,兜售;拉生意;[美]拉选票(for)
efficacious 有效的,灵验的
laud 赞美,称赞,颂歌
prescriptive 说明性的
perceptive 感觉(敏锐)的;有理解力的
objectivity 客观性,客观现实
restrictive 限制性的
self-destructive 自杀,自毁作用
connoisseur (艺术品的)鉴赏家,鉴定家,内行
abstemious 有节制的,节约的
cannibalistic 食人肉的,同类相食的
slovenly 懒散的,不修边幅的
insatiable 不知足的,贪求无厌的
unpalatable 味道差的,不好吃的
revivalist 信仰复兴运动者,领导宗教复兴运动者
beneficiary 受惠者,受益人
disparager 毁谤者,贬损者
progenitor 祖先,起源
diatribe 恶骂,激烈争论;苛评;诽谤
platitude 陈词滥调
acclamation 欢呼,喝彩,(以欢呼、鼓掌等表示的)拥护,赞成
opinionated 固执己见的,武断的
baroque 巴洛克式的,结构复杂的,形式怪样的
intricate 复杂的,错综的,难以理解的
tolerate 忍受,容忍
autonomy 自治
despise 轻视
disavow 不承认,否认,否定,抵赖
abstinence 禁欲;节制;戒酒或其它嗜好
loath 不情愿的,勉强的
liberality 心胸宽大;公平;豪爽
earthy 土的,粗陋的,朴实的,现实的
acrid 辛辣的,(言语或语调)刻薄的
hypothetical 假设的,假定的,爱猜想的
atypical 非典型的
phenomenon 现象,征兆
demise 死亡,君权的转移或授与,让位,禅让
ostentatious 装饰表面的,卖弄的
puerile 幼稚的,孩子气的,未成熟的,平庸的
reticent 沉默寡言的
indelible 去不掉的,不能拭除的
moribund 垂死的
picayune 不值钱的,无聊的
sweeping 范围广大的;包括无遗的,总括的;笼统的
triumph 凯旋,胜利;成功;征服
rebellion 造反;谋反;起义;反抗;不服从
detest 深深憎恨,嫌(恶),憎恶
enchant 使心醉,使销魂,使迷住
protean 千变万化的;(演员)多才多艺的,能演好几种角色的
beddazzle 使着魔,使迷惑,使陶醉
wearied 疲惫的
spellbound 着迷的，走火入魔的
mercurial 活动的，机智的
pedantic 迂腐的；学究式的
concrete 实际的，具体的
loftiness 高傲,高深,崇高
loquacious 多嘴的;饶舌的
querulous 爱抱怨的，爱发牢骚的
languor 疲倦；身心疲惫沉闷；抑郁
disaffect 使不满意,使疏远,使成为敌人
resentment 愤怒；憎恨
diplomatic 外交的，从事外交的
decorum 高雅的举止；得体的行为
diffident 缺乏自信心的；胆怯的；怯生生的
aplomb 冷静;沉着
crucial 极重要的；有决定性的
renunciation 自我克制
detrimental 有害的
tangential 略为触及的；附带的
interpretation 解释；说明；翻译
legislation 立法
precipitous 陡峭的；险峻的
insistent 坚持的;迫切要求的；紧急的
melodious 悦耳的
inaudible 听不见的
strident 有尖锐刺耳声的
discrete 离散的；分立的；不连续的
elementary 初步的；基本的
vacuous 空虚的；茫然的；发呆的；没有头脑的
waiver 放弃；弃权
census 调查，统计
levy 征收；征税；征募
avert 避免；防止
surmise 臆测；猜想
libertine 放荡不羁的
provincial 省的；（首都以外的）地区的
zealot 狂热分子
patriot 爱国者
indulgent 纵容的，溺爱的
altruistic 利他的,无私心的
vicarious 替代的；藉…而感到的
concentration 专心；集中（注意力）
symptom 征兆，征候，表征
improvement 增进,改善,改良
scholarly 精深的；博学的
erudite 博学的
lackluster 无光泽,暗淡
primitive 原始的；远古的;古老的；旧式的；简单的
antiquarian 古物的；文物的；研究、搜集或出售文物的
prestigious 有威信的；有名望的
masterful 好支配别人的；专横的
myriad 许多的；无数的
stature 成就；才干
stark 赤裸裸的；严厉的；僵硬的
vibrant 活泼的；生气勃勃的
toxicity 毒性
plague 折磨；困扰；麻烦
concordance 词语注解索引
esteem 尊重；尊敬
exempt 被豁免的；被免除的
rack 折磨；使痛苦
dissension 分歧；不同
embolden 壮胆；鼓励
scrutiny 细阅；详细检查；仔细研究
articulate 明白表示;清楚地表达
precocious 发育过早的，早熟的（人）
skeptic 怀疑者，怀疑论者；怀疑宗教主张的人
pundit 权威人士；专家
dilettante 浅薄的人；半瓶醋，只了解一点皮毛的
insurgent 叛乱士兵；叛乱分子
ascetic 苦行的;禁欲主义的
foresight 先见；预见；深谋远虑
nostalgia 留恋过去；怀旧；怀昔
folly 愚笨，愚蠢
despair 绝望；失望
artistry 艺术修养
candid 坦白的；坦率的
convolute 回旋,卷绕,盘旋
capricious 多变的；反覆无常的；任性的
bombastic 夸大的；唱高调的
decorous 举止高雅的；行为规矩的
intuitive 直觉的，本能的
impulsive 易冲动的,感情用事的
instinctive 本能的
intentional 有意的；故意的
streamline 使成流线型
infighting 内争；派系倾轧
jingoism 沙文主义，侵略主义
ossify （使）僵化；（使）顽固
bureaucratization 把行政机构分成局,增加政府机关或办事
cowardice 胆小，怯懦
prudence 审慎;远见;智慧
aloof 冷淡;疏远;淡漠:
applaud 鼓掌表示欢迎或赞赏
derail 使（火车等）脱轨:
dictum 名言;格言:
respite 暂时的缓解或放松
stimulus 起鼓舞或激励作用的事物;促进因素:
negotiate 商议;谈判;协商
concession 承认;让出;允许:
antagonize 引起（某人）的对抗;骚扰
equivocate 说模棱两可的话;支吾;蒙混
denunciation 谴责;斥责
rouse 唤醒某人
pedestrian 行人
chaotic 处于混乱状态的;完全无秩序的
unprecedent 无前例的;前所未有的;空前的
derivative 由他事物演变的;非独创的
inept 不熟练的;不擅长的
viable 切实可行的;可实施的
provoke 激怒（某人）;惹（某人）气恼
improbable 不大可能是真实的;未必会发生的;不大可能的
crypic 含有隐义的;晦涩难懂的;神秘的
judicious 有见识的;明智的
jubilant 欢欣的,欣喜的
pugnacious 好战的;好斗的;好寻衅的
belligerence 寻衅的人、态度、言辞.
indigence 贫穷
perfidy 背叛;背信弃义;不忠
aspersion 诽谤;诬蔑
tenacity 粘牢的;粘住的;抓牢的;抓紧的
imrecise 不精确的;不确切的;不明确的;不准确的
obtrusive 显着的;突出的;强加的;闯入的:
elliptical 意在言外的）省略的文风.
hollow 空的;中空的
sparse 对（一词）作语法分析
thunderous 雷鸣般的;声音很大的:
deafening 震耳欲聋的
negligilbe 不重要的;很小的;不值得考虑的
truce 休战,停战（协定
reinforce （以添加材料等）加固（某物
halt 暂停;停顿
credence 相信（流言蜚语、传言等
irrefutable 驳不倒的
disrepute 名声不好;不光彩:
momentum 动力;冲力;势头
palpable 可触知的;摸得出
diaphanous 又轻又薄而半透明的
variegated 杂色的;斑驳的
anomalous 异常的;不规则的
egalitarian 平等主义的;平等主义者
dowager 因亡夫之地位而持有称号或财产的寡妇
iconoclast 反对传统信仰或习俗的人
purveyor 供应货物或提供服务的人或公司
approve 赞成;认可;满意;同意:
belittle 轻视;贬低
amateurish 外行的;不熟练的.
lax 不严格的;不严厉的;疏忽的
verbose 言词冗赘的演讲者、讲话、文体.
mundane 平凡的;平淡的
concise 用少数词语传达大量信息的;简明的;言简意赅的
edify 开导或启发（某人
comprehensive （几乎）包罗万象的;全面的
succint 简明的;简洁的;简要的
enlighten 启发、启迪、教导或开导某人
provocative 激起愤怒、恼恨、争论等的;挑衅的;煽动性的
aggregation （使）聚集;（使）集合
inclination 倾向;意向;意愿
prognosis （对病情的）预断,预後
retrenchment 节省;削减;紧缩开支
preeminence 卓越
incorrigible 积习难改的,不可救药的（人或行为）
misinterpret 误解（某人[某事]）;误译;误以为:
liquefying （使某物）液化
founder 建立或创立某事物的人;建立者;缔造者
contaminate 使某事物[某人]受污染
backfire 产生出乎意料及事与愿违的结果（尤指对于该行为的责任者而言
boomerang 自食其果的言行
saturate 浸湿或浸透某物
reciprocate 互给（某物）;互换（某物
prevail 普遍存在;普遍发生;盛行;流行
insubstantial 非实体的;非实质的;非实在的;非真实的;幻想的
indignant 愤慨的,愤怒的（尤指对不公正或冤屈之事）
tenable 可防守的;守得住的;可维护或防护的
misconception 误解
erroneous 错误的观念、结论、说法等.
delusion 他的论据听起来似乎有理,但根本上是欺骗性的
impugn 对（某事物）表示怀疑
mollify 使（某人）息怒;使平静;抚慰
flotsam （在海上漂浮的）遇难船只的残骸或货物.
reconnaissance （对某地区的）侦察或观测
decimation 每十人杀一人,大批杀害
raiment 衣物
sustenance 食物;营养;养料
disposition 沉静、易怒、开朗、自负等的性格.
rubust 有活力的;强健的
corrosive 腐蚀性的（物质）
implacable 不能变动的;无法平息或安抚的
phlegmatic 冷静而温和的;迟钝的;冷漠的
lush 繁密的;茂盛的
sprawl 四肢摊开着坐、卧或倒下
desolate 指地方）无人烟的,荒凉的,荒芜的
gaudy 花哨的;（尤指）俗气的
monumental 纪念物的;用作纪念的
misnomer 错用名称;用词错误;描述失当
hybrid （不同成分的）混合物,合成物;（尤指由不同语言成分构成的）混合词
vector 矢量;向量
curative 有助于治疗的;有疗效的;以治病等为目的的
precursor 先驱;先行者;先兆;前兆
stringent （指法律、规则等）必须遵守的,严格的,严厉的
dispersive （指口头或书面的表达方式）东拉西扯的,不着边际的
protest 抗议;抗议书;抗议活动:
militant 用武力或高压的;好战的
bucolic 乡村生活的;田园生活的.
prolific （指动植物等）多产的,多育的
lugubrious 阴郁的;悲哀的
sundry 不同的;各种的
remonstrance 抗议;抱怨;反对.
lassitude 厌倦;疲乏
painstaking 极小心的;辛勤的;辛苦的
fabrication 编造、虚构、捏造、伪造的行为或结果:
chicanery 耍花招哄骗别人（尤指于法律事务中）;不诚实的行为
cosmopolitan 世界性的;有各国人的
stunt 引人注意的举动
hinder 阻碍、妨碍某人[某事物]的进展;阻挠或耽搁某人[某事物]
soothe 使（悲伤、焦虑等的人）平静或镇定;安慰;抚慰:
coddle 悉心照料（某人）
prod 用手指或其他尖物）刺,戳,捅（某人[某物]）
oust 免某人（职）;罢黜;剥夺;取代:
chide 指责;责骂
exhilarate 使（某人）愉快或活跃
banal 平常的;乏味的
prophetic （似）预言家的;（似）先知的
startling 令人震惊的;惊人的
appalling 骇人的;极恶劣的
proximity 空间或时间上的）邻近,接近
correlation 相互的关系
bellicose 好斗的;好战的;寻衅的
complacent 自满的;自鸣得意的
frisky 活泼有力的;爱玩耍的
mentor （无经验之人的）有经验可信赖的顾问
profiteer 牟取暴利;（尤指于困难时期,如战争或饥荒）剥削,投机倒把:
counterfeiter 伪造者,造伪币者,假造者
clairvoyant 有超人视力的（人）;有洞察力的（人）.
propagandist 宣传者;鼓吹者
deferential 顺从的;恭顺的.
sanctimonious 假装高尚、正经的
unrelenting （强度等）未降低的;持续的;不间断的:
replicate 复现或复制（某物）;再制造;再生出
peruse 读（某篇文字）;（尤指）细阅,审阅
discard 扔掉,丢弃（某物）
obliterate 除去（某物）的痕迹;涂去;擦掉
decipher 破译（密码）;辩认（潦草字迹）
deterrent 起制止作用的（事物）;遏止的（因素）;威慑的（力量）
panacea 治百病的药;万灵药:
barrier 阻碍进步或控制活动的事物
catalyst 催化剂;触媒剂
stir 搅动,搅和,搅拌（液体等
provocation 挑衅;激怒;刺激:
mitigate 使（某事物）减轻,和缓;节制
imperative 紧急;重要;需要立即处理
berefit 利益,实惠,未来的好处（尤与以下所示动词及介词连用）
miscreant 歹徒;恶棍;坏人.
revisionist 修正主义倾向.
pacifist 和平主义者;反战主义者
extremist （尤指政治上）偏激的人,极端主义者
tacit 心照不宣的;暗含的
fervent 热诚的;热情的;热烈的;强烈的
impetuous 轻率的;鲁莽的;冲动的
conditional 依赖某事物的;含有条件的
regal （似）帝王的;为帝王而设的;王室的
imperial 帝国的;帝王的;皇帝的
neutral 中立的;不偏不倚的;公平的:
liberating 解放,释放（某人[某事物]）
repressive 抑制的;压制的;严厉的;严格的:
totalitarian 极权主义的.
scandalous 丢脸的;令人震惊的
superiority 优秀;优良;优越;优胜
dispel 驱走（某事物）;使消失
fathom 领悟
levity 轻率;轻浮.
haughty （指人或态度）高傲自大的,倨傲不逊的:
impudent 粗鲁的;放肆的;无礼的;不尊重的
presumptuous 指人或其行为）胆大妄为的,放肆的,冒失的,专横的:
arrogant 傲慢的;自大的:
reverential 出于尊敬的
antipode 对趾地（地球两边正相反的地区）
reversal 反转;倒向;颠倒
bifurcation （指道路、河流、树枝等）分叉,分成两支.
dichotomy 一分为二;二分;二分法
filial 孝道
symbiotic [生]共生的
avuncular 叔伯的,像叔伯的（尤指举止态度
convivial 愉快而随和的;好交际的
funerary 葬礼的；埋葬的
cacophonous 发音不和谐的,粗腔横调的
syncopate 切分（音乐的节奏或节拍）（使强弱倒置）
harmonic 泛音.
millifulous 指嗓音、说话、音乐等）甜美的,动听的
serendipity 全然无意中有所新奇发现（的本事）.
merriment 欢乐;欢笑;庆祝;行乐.
substantiation 实体化,证明,证实
speculation 思考;思索;推断;推测
guesswork 猜测;臆断
conjecture 推测;猜测:
amicability 和睦
rationalization 合理化,合于经济原则
facetious （常为不当地）引人发笑的,诙谐的
obdurate 退位;逊位
prescient 有先见之明的;能预知未来的
improvident 不顾及将来需要的;浪费的
sedulous 勤勉的;不懈的;细心的
halcyon 太平而幸福的
notorious 臭名昭着的;声名狼藉的
somnolent 瞌睡的;困的;昏昏欲睡的
expedient （指行动）有用,有助益,可取（但不一定合理或正当)
metroplis 大城市;首都;首府:
emporium 贸易中心;市场
multitude 多数,大批（尤指在一处集结或移动的人群）
residual （作为剩余物）存留下来的;剩余的;残余的:
formulaic 有固定用词格式的
synthesize 综合;结合
depreciate 贬值
legitimize 使（某事物）合法,正当或有合法地位:
entrepreneur 企业家（尤指涉及财务风险的）
subsidize 津贴或补贴;资助或补助
eschew 戒除;回避
improvise 即兴地或即席地）创作、演奏、讲话、表演等:
amend 改正;略改进;稍改动
forgo 放弃或没有（尤指美好的事物）也行
reiterate 再次或反覆说或做（某事物
contrive 谋划或策划（某事）;发明;设计
anecdotal 轶事录
analogous 类似的;相似的
dilatory 饮食习惯
rigorous 严厉的;严格的
ardor 热心;热情
profusion 大量的某事物
enigma 难于理解的问题、人、物、情况等;奥秘
bounty 慷慨;大方
obtuse 笨的；迟钝的
paradox 似非而是的隽语;看似矛盾而实际（或可能）正确的说法:
ubiquitous （似乎）普遍存在的,无处不有的
incongruity 不协调;不和谐;不一致
